QuestionID,QuestionText,BegDate,EndDate,Responses,isValid
USROPER.40-021.R08B,What sort of thing could make you decide to vote for Roosevelt (instead of Willkie in the 1940 presidential election)?,09/1/1940,09/30/1940,"[{'ResponseText': 'Threat or declaration of war', 'ResponsePct': '4'}, {'ResponseText': 'If he could keep us out of war', 'ResponsePct': '2'}, {'ResponseText': 'A complete reversal of his foreign policies', 'ResponsePct': '1'}, {'ResponseText': 'If he balanced the budget (stopped getting us into debt)', 'ResponsePct': '1'}, {'ResponseText': ""Willkie's speeches or commitments contrary to respondents' ideas"", 'ResponsePct': '2'}, {'ResponseText': 'Death of Willkie', 'ResponsePct': '1'}, {'ResponseText': 'Nothing--against third term', 'ResponsePct': '3'}, {'ResponseText': 'Nothing', 'ResponsePct': '52'}, {'ResponseText': ""Won't vote"", 'ResponsePct': '1'}, {'ResponseText': 'Other', 'ResponsePct': '7'}, {'ResponseText': 'Refused to answer', 'ResponsePct': '2'}, {'ResponseText': ""Don't know"", 'ResponsePct': '24'}]",False
USGALLUP.40-209.QK03B,"Which one of these four statements comes closest to expressing your own opinion of Wendell Willkie?... A) Willkie is just the man the country needs for President during the next four years, B) Even though Willkie hasn't as much political and international experience as he needs, he still would make a better President than Roosevelt, C) Willkie is probably an honest and capable business man but he hasn't had the right experience to be President in times like these, D) The election of a man like Mr. Willkie at any time would be a very bad thing for the country.",09/5/1940,09/10/1940,"[{'ResponseText': 'Willkie just the man the country needs for President', 'ResponsePct': '14'}, {'ResponseText': 'Willkie would make a better President than Roosevelt', 'ResponsePct': '25'}, {'ResponseText': ""Willkie hasn't had the right experience"", 'ResponsePct': '40'}, {'ResponseText': 'Election of a man like Mr. Willkie would be a very bad thing for the country', 'ResponsePct': '13'}, {'ResponseText': ""Don't know"", 'ResponsePct': '8'}]",False
USGALLUP.40-220.Q02C,"Regardless of how you, yourself plan to vote, which Presidential candidate do you think will win?",10/24/1940,10/29/1940,"[{'ResponseText': 'Willkie', 'ResponsePct': '28'}, {'ResponseText': 'Roosevelt', 'ResponsePct': '57'}, {'ResponseText': 'Other (vol.)', 'ResponsePct': '*'}, {'ResponseText': 'Undecided', 'ResponsePct': '15'}]",False
USROPER.40-021.R15AE,Do you think that Roosevelt and Willkie agree... that the rights of labor should be preserved... or do you think they disagree?,09/1/1940,09/30/1940,"[{'ResponseText': 'Agree', 'ResponsePct': '42'}, {'ResponseText': 'Disagree', 'ResponsePct': '21'}, {'ResponseText': ""Don't know"", 'ResponsePct': '38'}]",False
USGALLUP.40-197.QK12B,"If Wendell Willkie runs for President on the Republican ticket against President Roosevelt running for a third term on the Democratic ticket, which one would you prefer?",06/1/1940,06/6/1940,"[{'ResponseText': 'Willkie', 'ResponsePct': '31'}, {'ResponseText': 'Roosevelt', 'ResponsePct': '52'}, {'ResponseText': 'Undecided', 'ResponsePct': '17'}]",True
USGALLUP.40-213.QKT07C,"Regardless of how you, yourself, plan to vote, which Presidential candidate do you think will win?",10/2/1940,10/7/1940,"[{'ResponseText': 'Willkie', 'ResponsePct': '22'}, {'ResponseText': 'Roosevelt', 'ResponsePct': '65'}, {'ResponseText': 'Other', 'ResponsePct': '*'}, {'ResponseText': 'Undecided', 'ResponsePct': '13'}]",False
USGALLUP.40-215.QKT07,"Regardless of how you, yourself, plan to vote, which Presidential candidate do you think will win?",10/11/1940,10/16/1940,"[{'ResponseText': 'Willkie', 'ResponsePct': '20'}, {'ResponseText': 'Roosevelt', 'ResponsePct': '65'}, {'ResponseText': 'Other', 'ResponsePct': '*'}, {'ResponseText': 'Undecided', 'ResponsePct': '14'}, {'ResponseText': 'No answer', 'ResponsePct': '1'}]",False
USROPER.40-022.R03,Which one of these four statements comes closest to expressing your own opinion of Mr. Roosevelt?,10/1/1940,10/31/1940,"[{'ResponseText': 'In times like these it is absolutely essential to have a man like Roosevelt for President', 'ResponsePct': '25'}, {'ResponseText': 'There may be some reasons against having Roosevelt as President for another four years, but on the whole it is the best thing to do', 'ResponsePct': '28'}, {'ResponseText': 'While Roosevelt has done some good things, the country would be better off under Willkie for the next four years', 'ResponsePct': '21'}, {'ResponseText': 'The reelection of Mr. Roosevelt for another four years would be a very bad thing for the country', 'ResponsePct': '19'}, {'ResponseText': ""Don't know"", 'ResponsePct': '7'}]",False
USGALLUP.40-213.QKT06A,"If the Presidential election were held today, would you vote for Roosevelt or Willkie?",10/2/1940,10/7/1940,"[{'ResponseText': 'Roosevelt', 'ResponsePct': '48'}, {'ResponseText': 'Willkie', 'ResponsePct': '42'}, {'ResponseText': 'Other', 'ResponsePct': '*'}, {'ResponseText': 'Undecided', 'ResponsePct': '7'}, {'ResponseText': ""Wouldn't vote (vol.)"", 'ResponsePct': '1'}, {'ResponseText': 'Refuse to answer', 'ResponsePct': '2'}]",True
USGALLUP.40-201.QKT06,Suppose Roosevelt and Hull are the Democratic candidates for President and Vice-President--would you prefer to vote for them or for the Republican ticket of Willkie and McNary?,07/13/1940,07/18/1940,"[{'ResponseText': 'Roosevelt and Hull', 'ResponsePct': '47'}, {'ResponseText': 'Willkie and McNary', 'ResponsePct': '40'}, {'ResponseText': 'Undecided', 'ResponsePct': '13'}]",True
USPR.59-2.R01,"If the war (in Europe) continues to be serious, which one of these presidential candidates do you think is most likely to keep us out of war?...Roosevelt, Dewey, Hull, Taft, Farley, Willkie?",05/4/1940,05/9/1940,"[{'ResponseText': 'Roosevelt', 'ResponsePct': '42'}, {'ResponseText': 'Dewey', 'ResponsePct': '14'}, {'ResponseText': 'Hull', 'ResponsePct': '8'}, {'ResponseText': 'Taft', 'ResponsePct': '7'}, {'ResponseText': 'Farley', 'ResponsePct': '2'}, {'ResponseText': 'Willkie', 'ResponsePct': '2'}, {'ResponseText': ""Don't know"", 'ResponsePct': '25'}]",False
USGALLUP.40-214.QKT02B,Do you think it would be a bad thing for the country if (opponent of candidate respondent chose Roosevelt/Willkie) is elected (president)?,10/7/1940,10/15/1940,"[{'ResponseText': 'YES!', 'ResponsePct': '26'}, {'ResponseText': 'Yes', 'ResponsePct': '28'}, {'ResponseText': 'NO!', 'ResponsePct': '4'}, {'ResponseText': 'No', 'ResponsePct': '22'}, {'ResponseText': ""Don't know"", 'ResponsePct': '20'}]",False
USGALLUP.40-208.Q03,"If it appears that England is going to be defeated, which Presidential candidate do you think you would favor?",09/5/1940,09/10/1940,"[{'ResponseText': 'Willkie', 'ResponsePct': '39'}, {'ResponseText': 'Roosevelt', 'ResponsePct': '49'}, {'ResponseText': 'Other', 'ResponsePct': '*'}, {'ResponseText': 'Undecided', 'ResponsePct': '12'}]",True
USGALLUP.40-205.QKT02A,"(What do you think is the most important problem before the American people today? (part two of two, balance of responses in QKT02)",08/10/1940,08/16/1940,"[{'ResponseText': 'Earning a living', 'ResponsePct': '1'}, {'ResponseText': 'The low standard of living', 'ResponsePct': '*'}, {'ResponseText': ""Money--can't get enough of it"", 'ResponsePct': '*'}, {'ResponseText': 'Security for all', 'ResponsePct': '*'}, {'ResponseText': 'Redistribution of wealth', 'ResponsePct': '*'}, {'ResponseText': 'Educating people on how to live and how not to live', 'ResponsePct': '*'}, {'ResponseText': 'Problems of the working man', 'ResponsePct': '*'}, {'ResponseText': 'The Presidential election', 'ResponsePct': '3'}, {'ResponseText': 'Election of Roosevelt, Keep Democratic regime', 'ResponsePct': '*'}, {'ResponseText': 'Get Roosevelt out, get rid of present administration', 'ResponsePct': '1'}, {'ResponseText': 'Election of Willkie--election of Republican President', 'ResponsePct': '1'}, {'ResponseText': 'The New Deal versus the anti-New Deal', 'ResponsePct': '*'}, {'ResponseText': 'Keeping Roosevelt out of war', 'ResponsePct': '*'}, {'ResponseText': 'Third term', 'ResponsePct': '*'}, {'ResponseText': 'Correct what has been done past seven years', 'ResponsePct': '*'}, {'ResponseText': 'Clean up politics', 'ResponsePct': '*'}, {'ResponseText': 'Get rid of politics in national crisis', 'ResponsePct': '*'}, {'ResponseText': 'Get proper administration in Washington', 'ResponsePct': '*'}, {'ResponseText': 'Getting a better government', 'ResponsePct': '*'}, {'ResponseText': 'United States should declare war and help England', 'ResponsePct': '*'}, {'ResponseText': 'Enforcement of Civil Liberties', 'ResponsePct': '*'}, {'ResponseText': 'Handling of domestic situation by present administration', 'ResponsePct': '*'}, {'ResponseText': 'Sanity in Washington', 'ResponsePct': '*'}, {'ResponseText': 'Government--a more liberal and understanding', 'ResponsePct': '*'}, {'ResponseText': 'Lack of confidence in national affairs', 'ResponsePct': '*'}, {'ResponseText': ""Getting some 'horse sense' in government"", 'ResponsePct': '*'}, {'ResponseText': 'Improve democratic processes', 'ResponsePct': '*'}, {'ResponseText': 'Lack of faith in administration', 'ResponsePct': '*'}, {'ResponseText': 'Get government red tape out of way', 'ResponsePct': '*'}, {'ResponseText': 'Honesty in government', 'ResponsePct': '*'}, {'ResponseText': 'State of government', 'ResponsePct': '*'}, {'ResponseText': 'Try to better our government', 'ResponsePct': '*'}, {'ResponseText': 'Get rid of socialism in government', 'ResponsePct': '*'}, {'ResponseText': 'Relief situation', 'ResponsePct': '1'}, {'ResponseText': 'Get people off relief', 'ResponsePct': '*'}, {'ResponseText': 'International relations', 'ResponsePct': '*'}, {'ResponseText': 'Prohibition', 'ResponsePct': '*'}, {'ResponseText': 'Health', 'ResponsePct': '*'}, {'ResponseText': 'Domestic problems--take care of', 'ResponsePct': '*'}, {'ResponseText': 'Trade', 'ResponsePct': '*'}, {'ResponseText': 'Not trading with Germany', 'ResponsePct': '*'}, {'ResponseText': 'Foreign policy', 'ResponsePct': '*'}, {'ResponseText': 'Keeping out of European affairs--mind our own business', 'ResponsePct': '1'}, {'ResponseText': 'Aid to England short of sending men', 'ResponsePct': '*'}, {'ResponseText': 'Help to the old', 'ResponsePct': '*'}, {'ResponseText': 'Distribution of commodities', 'ResponsePct': '*'}, {'ResponseText': 'Pensions for aged', 'ResponsePct': '*'}, {'ResponseText': 'The Jews', 'ResponsePct': '*'}, {'ResponseText': 'A standard old age pension', 'ResponsePct': '*'}, {'ResponseText': 'World conditions', 'ResponsePct': '*'}, {'ResponseText': 'Getting rid of the radicals', 'ResponsePct': '*'}, {'ResponseText': 'Getting rid of class distinctions', 'ResponsePct': '*'}, {'ResponseText': 'South American--strengthening of United States relationship with', 'ResponsePct': '*'}, {'ResponseText': 'Local conditions', 'ResponsePct': '*'}, {'ResponseText': 'Education of the young', 'ResponsePct': '*'}, {'ResponseText': 'New frontiers for young people', 'ResponsePct': '*'}, {'ResponseText': 'What is to become of the young people', 'ResponsePct': '*'}, {'ResponseText': 'Employment of youth', 'ResponsePct': '*'}, {'ResponseText': 'Giving youth faith in themselves', 'ResponsePct': '*'}, {'ResponseText': 'Future security for young people', 'ResponsePct': '*'}, {'ResponseText': 'All others', 'ResponsePct': '2'}, {'ResponseText': 'No answer', 'ResponsePct': '6'}]",False
USROPER.40-019.R13A,"If Mr. Roosevelt does run (for President) next fall, do you think you would vote for him or for Mr. Willkie?",07/1/1940,07/31/1940,"[{'ResponseText': 'Mr. Roosevelt', 'ResponsePct': '44'}, {'ResponseText': 'Mr. Willkie', 'ResponsePct': '41'}, {'ResponseText': ""Won't vote"", 'ResponsePct': '5'}, {'ResponseText': ""Wouldn't answer"", 'ResponsePct': '3'}, {'ResponseText': ""Don't know"", 'ResponsePct': '7'}]",True
USROPER.40-021.R09,For whom do you expect to vote in November (1940)--Roosevelt or Willkie?,09/1/1940,09/30/1940,"[{'ResponseText': 'Roosevelt', 'ResponsePct': '46'}, {'ResponseText': 'Willkie', 'ResponsePct': '35'}, {'ResponseText': ""Wouldn't answer"", 'ResponsePct': '4'}, {'ResponseText': ""Won't vote"", 'ResponsePct': '6'}, {'ResponseText': ""Don't know"", 'ResponsePct': '8'}]",True
USGALLUP.40-200.QKT02,Who do you think would do the better job of strengthening our country's national defenses-- Roosevelt or Willkie?,07/5/1940,07/10/1940,"[{'ResponseText': 'Roosevelt', 'ResponsePct': '48'}, {'ResponseText': 'Willkie', 'ResponsePct': '28'}, {'ResponseText': 'No difference', 'ResponsePct': '13'}, {'ResponseText': 'No opinion', 'ResponsePct': '11'}]",True
USGALLUP.40-217.Q02B,"Regardless of how you, yourself, plan to vote, which Presidential candidate do you think will win?",10/24/1940,10/29/1940,"[{'ResponseText': 'Willkie', 'ResponsePct': '25'}, {'ResponseText': 'Roosevelt', 'ResponsePct': '59'}, {'ResponseText': 'Other (vol.)', 'ResponsePct': '*'}, {'ResponseText': 'Undecided', 'ResponsePct': '16'}]",False
USGALLUP.40-219.QK02C,"Which one of these four statements comes closest to expressing your own opinion of Wendell Willkie? A) Willkie is just the man the country needs for President during the next four years. B) Even though Willkie hasn't as much political and international experience as he needs, he still would make a better President than Roosevelt. C) Willkie is probably an honest and capable business man but he hasn't had the right experience to be President in times like these. D) The election of a man like Mr. Willkie at any time would be a very bad thing for the country.",10/26/1940,10/31/1940,"[{'ResponseText': 'Just the man the country needs', 'ResponsePct': '28'}, {'ResponseText': 'Would make a better President than Roosevelt', 'ResponsePct': '23'}, {'ResponseText': ""Hasn't had the right experience to be President"", 'ResponsePct': '21'}, {'ResponseText': 'Election of a man like Mr. Willkie would be a bad thing for the country', 'ResponsePct': '23'}, {'ResponseText': ""Don't know"", 'ResponsePct': '4'}]",False
USGALLUP.40-211.QKT03A,"As it looks now, do you intend to vote for Roosevelt, or for Willkie, this fall?",09/22/1940,09/27/1940,"[{'ResponseText': 'Roosevelt', 'ResponsePct': '48'}, {'ResponseText': 'Willkie', 'ResponsePct': '41'}, {'ResponseText': 'Other (vol.)', 'ResponsePct': '*'}, {'ResponseText': 'Undecided', 'ResponsePct': '9'}, {'ResponseText': 'Refuse to answer', 'ResponsePct': '2'}]",True
USROPER.40-021.R15BB,(Which one do you agree with--Roosevelt or Willkie--on the following propositions?)... That most New Deal reforms should be continued,09/1/1940,09/30/1940,"[{'ResponseText': 'Roosevelt', 'ResponsePct': '45'}, {'ResponseText': 'Willkie', 'ResponsePct': '45'}, {'ResponseText': ""Don't know"", 'ResponsePct': '10'}]",False
USPR.56.R03,"If President Roosevelt runs for a third term on the Democratic ticket against Wendell Willkie on the Republican ticket, which one would you prefer?",04/13/1940,04/18/1940,"[{'ResponseText': 'Roosevelt', 'ResponsePct': '53'}, {'ResponseText': 'Dewey', 'ResponsePct': '23'}, {'ResponseText': 'No opinion', 'ResponsePct': '25'}]",True
USGALLUP.40-205.QK04,"If the Presidential election were held today, would you vote for the Republican candidate, Willkie, the Socialist candidate, Thomas, or the Democratic candidate, Roosevelt?",08/10/1940,08/16/1940,"[{'ResponseText': 'Willkie', 'ResponsePct': '46'}, {'ResponseText': 'Roosevelt', 'ResponsePct': '42'}, {'ResponseText': 'Other', 'ResponsePct': '1'}, {'ResponseText': 'Socialist', 'ResponsePct': '*'}, {'ResponseText': 'Undecided', 'ResponsePct': '11'}]",True
USPR.60.R03,"If Wendell Willkie runs for President on the Republican ticket against Roosevelt on the Democratic ticket, which one would you prefer?",05/23/1940,05/27/1940,"[{'ResponseText': 'Willkie', 'ResponsePct': '28'}, {'ResponseText': 'Roosevelt', 'ResponsePct': '55'}, {'ResponseText': ""Don't know"", 'ResponsePct': '17'}]",True
USGALLUP.102740.RK05,"If the presidential election were held today, would you vote for Franklin Roosevelt or Wendell Willkie?",10/11/1940,10/16/1940,"[{'ResponseText': 'Roosevelt', 'ResponsePct': '51'}, {'ResponseText': 'Willkie', 'ResponsePct': '42'}, {'ResponseText': 'No opinion', 'ResponsePct': '7'}]",True
USROPER.40-022.R06AD,"(Asked only of those who expect to vote for Roosevelt, Willkie or 'Other' in November 1940) (If any of these things happened between now and election day, would you be inclined to change your vote for President?)... The discovery of tremendous graft in giving out contracts for war equipment",10/1/1940,10/31/1940,"[{'ResponseText': 'Yes', 'ResponsePct': '14'}, {'ResponseText': 'No', 'ResponsePct': '77'}, {'ResponseText': ""Don't know"", 'ResponsePct': '10'}]",False
USOPOR.40-802.Q17,Which (1940) Presidential candidate do you think would handle our country's foreign affairs better--(Franklin D.) Roosevelt or (Wendell) Willkie?,07/20/1940,07/20/1940,"[{'ResponseText': 'Roosevelt', 'ResponsePct': '55'}, {'ResponseText': 'Willkie', 'ResponsePct': '28'}, {'ResponseText': 'Other (Vol.)', 'ResponsePct': '1'}, {'ResponseText': 'Undecided', 'ResponsePct': '17'}]",True
USROPER.40-021.R07,Which one of these four statements comes closest to expressing your own opinion of Mr. Roosevelt?,09/1/1940,09/30/1940,"[{'ResponseText': 'In times like these it is absolutely essential to have a man like Roosevelt for President', 'ResponsePct': '28'}, {'ResponseText': 'There may be some reasons against having Roosevelt as President for another four years, but on the whole it is the best thing to do', 'ResponsePct': '27'}, {'ResponseText': 'While Roosevelt has done some good things, the country would be better off under Willkie for the next four years', 'ResponsePct': '21'}, {'ResponseText': 'The re-election of Mr. Roosevelt for another four years would be a very bad thing for the country', 'ResponsePct': '17'}, {'ResponseText': ""Don't know"", 'ResponsePct': '7'}]",False
USGALLUP.092840.RK08,"Regardless of how you yourself plan to vote, who do you think will be elected President?",09/19/1940,09/27/1940,"[{'ResponseText': 'Roosevelt', 'ResponsePct': '57'}, {'ResponseText': 'Willkie', 'ResponsePct': '28'}, {'ResponseText': 'No opinion', 'ResponsePct': '16'}]",False
USGALLUP.40-209.QT03B,"Which of these four statements comes closest to expressing your own opinion of Mr. Roosevelt... A) In times like these it is absolutely essential to have a man like Roosevelt for President, B) There may be some reasons against having Roosevelt as President for another four years but on the whole it is the best thing to do, C) While Roosevelt has done some good things, the country would be better off under Willkie for the next four years, D) The re-election of Mr. Roosevelt for another four years would be a very bad thing for the country?",09/5/1940,09/10/1940,"[{'ResponseText': 'Absolutely essential to have a man like Roosevelt for President', 'ResponsePct': '27'}, {'ResponseText': 'Be some reasons against having Roosevelt but on the whole it is the best thing to do', 'ResponsePct': '28'}, {'ResponseText': 'Country would be better off under Willkie', 'ResponsePct': '21'}, {'ResponseText': 'Re-election of Mr. Roosevelt would be a very bad thing for the country', 'ResponsePct': '19'}, {'ResponseText': ""Don't know"", 'ResponsePct': '5'}]",False
USROPER.40-019.R13B,Which of the following most nearly represents your opinion of Mr. Willkie?,07/1/1940,07/31/1940,"[{'ResponseText': 'He is the best man the Republicans could have chosen, but it is better for the country to keep Mr. Roosevelt in office', 'ResponsePct': '68'}, {'ResponseText': 'He may be all right as a person, but the Republicans made a mistake not to have chosen a different candidate', 'ResponsePct': '13'}, {'ResponseText': 'He is thoroughly unsuited for office, and his election would be a calamity', 'ResponsePct': '6'}, {'ResponseText': ""Don't know"", 'ResponsePct': '13'}]",False
USGALLUP.40-221.Q02A,"If the Presidential election were held today, would you vote for Roosevelt or Willkie?",10/25/1940,10/29/1940,"[{'ResponseText': 'Roosevelt', 'ResponsePct': '48'}, {'ResponseText': 'Willkie', 'ResponsePct': '44'}, {'ResponseText': 'Other (vol.)', 'ResponsePct': '*'}, {'ResponseText': 'Would not vote', 'ResponsePct': '1'}, {'ResponseText': 'Refuse to answer', 'ResponsePct': '2'}, {'ResponseText': 'Undecided', 'ResponsePct': '5'}]",True
USGALLUP.071240.RK09,If President Roosevelt runs for a third term on the Democratic ticket against Wendell Willkie on the Republican ticket how would you vote?,07/5/1940,07/10/1940,"[{'ResponseText': 'Roosevelt', 'ResponsePct': '48'}, {'ResponseText': 'Willkie', 'ResponsePct': '42'}, {'ResponseText': 'No opinion', 'ResponsePct': '10'}]",True
USROPER.40-021.R15AA,Do you think that Roosevelt and Willkie agree... that the government should economize on everything except preparedness... or do you think they disagree?,09/1/1940,09/30/1940,"[{'ResponseText': 'Agree', 'ResponsePct': '29'}, {'ResponseText': 'Disagree', 'ResponsePct': '35'}, {'ResponseText': ""Don't know"", 'ResponsePct': '36'}]",False
USROPER.40-021.R15AB,Do you think that Roosevelt and Willkie agree... that most New Deal reforms should be continued... or do you think they disagree?,09/1/1940,09/30/1940,"[{'ResponseText': 'Agree', 'ResponsePct': '30'}, {'ResponseText': 'Disagree', 'ResponsePct': '42'}, {'ResponseText': ""Don't know"", 'ResponsePct': '28'}]",False
USGALLUP.40-216.QKT02D,"Regardless of how you, yourself, plan to vote, which Presidential candidate do you think will win?",10/21/1940,10/26/1940,"[{'ResponseText': 'Willkie', 'ResponsePct': '23'}, {'ResponseText': 'Roosevelt', 'ResponsePct': '61'}, {'ResponseText': 'Other', 'ResponsePct': '*'}, {'ResponseText': 'Undecided', 'ResponsePct': '16'}]",False
USGALLUP.40-219.QK02B,"Which one of these four statements comes closest to expressing your own opinion about Mr. Roosevelt? A) In times like these it is absolutely essential to have a man like Roosevelt for President. B) There may be some reasons against having Roosevelt as President for another four years but on the whole it is the best thing to do. C) While Roosevelt has done some good things, the country would be better off under Willkie for the next four years. D) The re-election of Mr. Roosevelt for another four years would be a very bad thing for the country.",10/26/1940,10/31/1940,"[{'ResponseText': 'Times like these it is absolutely essential to have a man like Roosevelt', 'ResponsePct': '32'}, {'ResponseText': 'On the whole it is the best thing to do', 'ResponsePct': '20'}, {'ResponseText': 'Country would be better off under Willkie', 'ResponsePct': '22'}, {'ResponseText': 'Re-election of Mr. Roosevelt would be a very bad thing for the country', 'ResponsePct': '21'}, {'ResponseText': ""Don't know"", 'ResponsePct': '4'}]",False
USROPER.40-020.R08,Do you feel that (the 1940 election between Roosevelt and Willkie) will be a close election?,08/1/1940,08/31/1940,"[{'ResponseText': 'Yes', 'ResponsePct': '63'}, {'ResponseText': 'No', 'ResponsePct': '26'}, {'ResponseText': ""Don't know"", 'ResponsePct': '10'}]",False
USGALLUP.40-202.QK03,"If the Presidential election were held today, would you vote for the Republican candidate, Willkie, or the Democratic candidate, Roosevelt?",07/18/1940,07/23/1940,"[{'ResponseText': 'Willkie', 'ResponsePct': '43'}, {'ResponseText': 'Roosevelt', 'ResponsePct': '44'}, {'ResponseText': 'Other (vol.)', 'ResponsePct': '1'}, {'ResponseText': 'Undecided', 'ResponsePct': '12'}]",True
USROPER.40-020.R02,Which one of these four statements comes closest to expressing your own opinion of Mr. Roosevelt?,08/1/1940,08/31/1940,"[{'ResponseText': 'In times like these, it is absolutely essential to have a man like Roosevelt for President', 'ResponsePct': '27'}, {'ResponseText': 'There may be some reasons against having Roosevelt as President for another four years, but on the whole it is the best thing to do', 'ResponsePct': '27'}, {'ResponseText': 'While Roosevelt has done some good things, the country would be better off under Willkie for the next four years', 'ResponsePct': '22'}, {'ResponseText': 'The reelection of Mr. Roosevelt for another four years would be a very bad thing for the country', 'ResponsePct': '16'}, {'ResponseText': ""Don't know"", 'ResponsePct': '8'}]",False
