QuestionID,validPoll,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote,Franklin D. Roosevelt,Wendell Willkie,Other / Undecided
USROPER.40-021.R08B,False,What sort of thing could make you decide to vote for Roosevelt (instead of Willkie in the 1940 presidential election)?,,"Asked of those who said that even though Willkie hasn't as much political and international experience as he needs, he still would make a better President than Roosevelt or who didn't know which candidate was better (36%)",09/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,09/1/1940,09/30/1940,N,National adult,5215,,Face-to-face interview,,0.0,0.0,0.0
USGALLUP.40-209.QK03B,False,"Which one of these four statements comes closest to expressing your own opinion of Wendell Willkie?... A) Willkie is just the man the country needs for President during the next four years, B) Even though Willkie hasn't as much political and international experience as he needs, he still would make a better President than Roosevelt, C) Willkie is probably an honest and capable business man but he hasn't had the right experience to be President in times like these, D) The election of a man like Mr. Willkie at any time would be a very bad thing for the country.",,Asked of Form K half sample,09/1/1940,Gallup Organization,,Gallup Poll (AIPO),09/5/1940,09/10/1940,Y,National Adult,4545,,Face-to-face interview,Sample size is approximate.,0.0,0.0,0.0
USGALLUP.40-220.Q02C,False,"Regardless of how you, yourself plan to vote, which Presidential candidate do you think will win?",* = less than .5 percent,,11/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/24/1940,10/29/1940,Y,National Adult,5449,,Face-to-face interview,"Sample size is approximate. The sample included registered voters, those who planned to register, and those who would be eligible to vote if registration wasn't required for voting.",0.0,0.0,0.0
USROPER.40-021.R15AE,False,Do you think that Roosevelt and Willkie agree... that the rights of labor should be preserved... or do you think they disagree?,,,09/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,09/1/1940,09/30/1940,N,National adult,5215,,Face-to-face interview,,0.0,0.0,0.0
USGALLUP.40-197.QK12B,True,"If Wendell Willkie runs for President on the Republican ticket against President Roosevelt running for a third term on the Democratic ticket, which one would you prefer?",,,06/1/1940,Gallup Organization,,Gallup Poll (AIPO),06/1/1940,06/6/1940,Y,National Adult,3171,,Face-to-face interview,Sample size is approximate.,52.0,31.0,17.0
USGALLUP.40-213.QKT07C,False,"Regardless of how you, yourself, plan to vote, which Presidential candidate do you think will win?",* = less than .5 percent,,10/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/2/1940,10/7/1940,Y,National Adult,3111,,Face-to-face interview,Sample size is approximate.,0.0,0.0,0.0
USGALLUP.40-215.QKT07,False,"Regardless of how you, yourself, plan to vote, which Presidential candidate do you think will win?",* = less than .5 percent,,10/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/11/1940,10/16/1940,Y,National Adult,3135,,Face-to-face interview,Sample size is approximate.,0.0,0.0,0.0
USROPER.40-022.R03,False,Which one of these four statements comes closest to expressing your own opinion of Mr. Roosevelt?,,,10/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,10/1/1940,10/31/1940,N,National adult,5151,,Face-to-face interview,,0.0,0.0,0.0
USGALLUP.40-213.QKT06A,True,"If the Presidential election were held today, would you vote for Roosevelt or Willkie?",* = less than .5 percent,,10/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/2/1940,10/7/1940,Y,National Adult,3111,,Face-to-face interview,Sample size is approximate.,48.0,42.0,9.0
USGALLUP.40-201.QKT06,True,Suppose Roosevelt and Hull are the Democratic candidates for President and Vice-President--would you prefer to vote for them or for the Republican ticket of Willkie and McNary?,,Asked of those age 21 or over,07/1/1940,Gallup Organization,,Gallup Poll (AIPO),07/13/1940,07/18/1940,Y,National Adult,3175,,Face-to-face interview,Sample size is approximate.,47.0,40.0,13.0
USPR.59-2.R01,False,"If the war (in Europe) continues to be serious, which one of these presidential candidates do you think is most likely to keep us out of war?...Roosevelt, Dewey, Hull, Taft, Farley, Willkie?",,,05/1/1940,People's Research,,People's Research Survey,05/4/1940,05/9/1940,Y,National adults,1200,,Face-to-face interview,Sample size is approximate.,0.0,0.0,0.0
USGALLUP.40-214.QKT02B,False,Do you think it would be a bad thing for the country if (opponent of candidate respondent chose Roosevelt/Willkie) is elected (president)?,,,10/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/7/1940,10/15/1940,Y,National Adult,6236,,Face-to-face interview,,0.0,0.0,0.0
USGALLUP.40-208.Q03,False,"If it appears that England is going to be defeated, which Presidential candidate do you think you would favor?",* = less than .5 percent,,09/1/1940,Gallup Organization,,Gallup Poll (AIPO),09/5/1940,09/10/1940,Y,National adult,3230,,Face-to-face interview,Sample size is approximate.,0.0,0.0,0.0
USGALLUP.40-205.QKT02A,False,"(What do you think is the most important problem before the American people today? (part two of two, balance of responses in QKT02)",* = less than .5 percent,,08/1/1940,Gallup Organization,,Gallup Poll (AIPO),08/10/1940,08/16/1940,Y,National Adult,5825,,Face-to-face interview,"Form K interviewed Aug. 10-15, 1940, Form T Aug. 11-16, 1940. Sample size is approximate.",0.0,0.0,0.0
USROPER.40-019.R13A,True,"If Mr. Roosevelt does run (for President) next fall, do you think you would vote for him or for Mr. Willkie?",,,07/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,07/1/1940,07/31/1940,N,National adult,2540,,Face-to-face interview,,44.0,41.0,15.0
USROPER.40-021.R09,True,For whom do you expect to vote in November (1940)--Roosevelt or Willkie?,,,09/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,09/1/1940,09/30/1940,N,National adult,5215,,Face-to-face interview,,46.0,35.0,19.0
USGALLUP.40-200.QKT02,False,Who do you think would do the better job of strengthening our country's national defenses-- Roosevelt or Willkie?,,,07/1/1940,Gallup Organization,,Gallup Poll (AIPO),07/5/1940,07/10/1940,Y,National Adult,3132,,Face-to-face interview,Sample size is approximate.,0.0,0.0,0.0
USGALLUP.40-217.Q02B,False,"Regardless of how you, yourself, plan to vote, which Presidential candidate do you think will win?",,,11/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/24/1940,10/29/1940,Y,National Adult,5449,,Face-to-face interview,"Sample size is approximate. The sample included registered voters, those who planned to register, and those who would be eligible to vote if registration wasn't required for voting.",0.0,0.0,0.0
USGALLUP.40-219.QK02C,False,"Which one of these four statements comes closest to expressing your own opinion of Wendell Willkie? A) Willkie is just the man the country needs for President during the next four years. B) Even though Willkie hasn't as much political and international experience as he needs, he still would make a better President than Roosevelt. C) Willkie is probably an honest and capable business man but he hasn't had the right experience to be President in times like these. D) The election of a man like Mr. Willkie at any time would be a very bad thing for the country.",,Asked of Form K half sample,11/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/26/1940,10/31/1940,Y,National Adult,5378,,Face-to-face interview,"Sample size is approximate. The sample included registered voters, those who planned to register, and those who would be eligible to vote if registration wasn't required to vote.",0.0,0.0,0.0
USGALLUP.40-211.QKT03A,True,"As it looks now, do you intend to vote for Roosevelt, or for Willkie, this fall?",* = less than .5 percent,,10/1/1940,Gallup Organization,,Gallup Poll (AIPO),09/22/1940,09/27/1940,Y,National Adult,2964,,Face-to-face interview,Sample size is approximate.,48.0,41.0,11.0
USGALLUP.090640.RK01,False,"Wendell Willkie proposed that he and President Roosevelt hold a series of debates, both speaking from the same platform. Do you think the President should accept the proposal?",,,09/6/1940,Gallup Organization,,Gallup Poll,08/23/1940,08/29/1940,Y,National Adult,3107,,Face-to-face interview,Sample size is approximate.,0.0,0.0,0.0
USPR.61.R03,True,"If Wendell Willkie runs for President on the Republican ticket against Roosevelt, which one would you prefer?",,,06/1/1940,People's Research,,People's Research Survey,06/3/1940,06/6/1940,Y,National adults,1200,,Face-to-face interview,Sample size is approximate.,57.0,29.0,14.0
USROPER.40-021.R13,False,Which do you think would do a better job of re-arming the country--Roosevelt or Willkie?,,,09/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,09/1/1940,09/30/1940,N,National adult,5215,,Face-to-face interview,,0.0,0.0,0.0
USROPER.40-021.R14C,False,Would you or would you not like to see President Roosevelt take up Willkie's challenge to debate?,,,09/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,09/1/1940,09/30/1940,N,National adult,5215,,Face-to-face interview,,0.0,0.0,0.0
USROPER.40-021.R08A,False,Which one of these four statements comes closest to expressing your own opinion of Wendell Willkie?,,,09/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,09/1/1940,09/30/1940,N,National adult,5215,,Face-to-face interview,,0.0,0.0,0.0
USGALLUP.092040.RK04,True,Whom do you favor for President--Franklin Roosevelt or Wendell Willkie?,,,09/1/1940,Gallup Organization,,Gallup Poll (AIPO),09/5/1940,09/10/1940,Y,National adult,3230,,Face-to-face interview,Sample size is approximate.,55.0,45.0,11.0
USGALLUP.40-207.QT01,False,"Wendell Willkie proposed that he and President Roosevelt hold a series of debates, both speaking from the same platform. Would you like to see the President accept this proposal?",,Asked of Form T half sample,09/6/1940,Gallup Organization,,Gallup Poll,08/23/1940,08/29/1940,Y,National Adult,3107,,Face-to-face interview,Sample size is approximate.,0.0,0.0,0.0
USOPOR.40-802.Q15B,False,"Which do you think is more important to you personally--that England win the war against Germany and Italy, or that Franklin D. Roosevelt/Wendell Willkie/Other be elected President of the United States this year (1940)?",,,07/31/1940,Office of Public Opinion Research,,Office of Public Opinion Research War Survey,07/20/1940,07/20/1940,Y,National adult and a supplemental sample of adult residents of southen states including an oversample of African Americans,3091,,Face-to-face interview,,0.0,0.0,0.0
USGALLUP.40-209.QKT05B,False,"Regardless of how you, yourself, plan to vote, which Presidential candidate do you think will win?",* = less than .5 percent,,09/1/1940,Gallup Organization,,Gallup Poll (AIPO),09/5/1940,09/10/1940,Y,National Adult,4545,,Face-to-face interview,Sample size is approximate.,0.0,0.0,0.0
USROPER.40-021.R15BA,False,Which one do you agree with--Roosevelt or Willkie--on the following propositions?... That the government should economize on everything except preparedness,,Asked of those who said that Roosevelt and Willkie disagree on this proposition (35%),09/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,09/1/1940,09/30/1940,N,National adult,5215,,Face-to-face interview,,0.0,0.0,0.0
USROPER.40-021.R15BB,False,(Which one do you agree with--Roosevelt or Willkie--on the following propositions?)... That most New Deal reforms should be continued,,Asked of those who said that Roosevelt and Willkie disagree on this proposition (41%),09/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,09/1/1940,09/30/1940,N,National adult,5215,,Face-to-face interview,,0.0,0.0,0.0
USPR.56.R03,True,"If President Roosevelt runs for a third term on the Democratic ticket against Wendell Willkie on the Republican ticket, which one would you prefer?",,,04/1/1940,People's Research,,People's Research Survey,04/13/1940,04/18/1940,Y,National adults,1200,,Face-to-face interview,Sample size is approximate.,53.0,0.0,47.0
USGALLUP.40-205.QK04,True,"If the Presidential election were held today, would you vote for the Republican candidate, Willkie, the Socialist candidate, Thomas, or the Democratic candidate, Roosevelt?",* = less than .5 percent,Asked of Form K half sample,08/1/1940,Gallup Organization,,Gallup Poll (AIPO),08/10/1940,08/16/1940,Y,National Adult,5825,,Face-to-face interview,"Form K interviewed Aug. 10-15, 1940, Form T Aug. 11-16, 1940. Sample size is approximate.",42.0,46.0,12.0
USPR.60.R03,True,"If Wendell Willkie runs for President on the Republican ticket against Roosevelt on the Democratic ticket, which one would you prefer?",,,05/1/1940,People's Research,,People's Research Survey,05/23/1940,05/27/1940,Y,National adults,1200,,Face-to-face interview,Sample size is approximate.,55.0,28.0,17.0
USGALLUP.102740.RK05,True,"If the presidential election were held today, would you vote for Franklin Roosevelt or Wendell Willkie?",,,10/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/11/1940,10/16/1940,Y,National Adult,3135,,Face-to-face interview,Sample size is approximate.,51.0,42.0,7.0
USROPER.40-022.R06AD,False,"(Asked only of those who expect to vote for Roosevelt, Willkie or 'Other' in November 1940) (If any of these things happened between now and election day, would you be inclined to change your vote for President?)... The discovery of tremendous graft in giving out contracts for war equipment",,"Respondents expect to vote for Roosevelt, Willkie, Other (86%)",10/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,10/1/1940,10/31/1940,N,National adult,5151,,Face-to-face interview,,0.0,0.0,0.0
USOPOR.40-802.Q17,False,Which (1940) Presidential candidate do you think would handle our country's foreign affairs better--(Franklin D.) Roosevelt or (Wendell) Willkie?,,,07/31/1940,Office of Public Opinion Research,,Office of Public Opinion Research War Survey,07/20/1940,07/20/1940,Y,National adult and a supplemental sample of adult residents of southen states including an oversample of African Americans,3091,,Face-to-face interview,,0.0,0.0,0.0
USROPER.40-021.R07,False,Which one of these four statements comes closest to expressing your own opinion of Mr. Roosevelt?,,,09/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,09/1/1940,09/30/1940,N,National adult,5215,,Face-to-face interview,,0.0,0.0,0.0
USGALLUP.092840.RK08,False,"Regardless of how you yourself plan to vote, who do you think will be elected President?",,,09/28/1940,Gallup Organization,,Gallup Poll,09/19/1940,09/27/1940,Y,National Adult,3053,,Face-to-face interview,Sample size is approximate.,0.0,0.0,0.0
USGALLUP.40-209.QT03B,False,"Which of these four statements comes closest to expressing your own opinion of Mr. Roosevelt... A) In times like these it is absolutely essential to have a man like Roosevelt for President, B) There may be some reasons against having Roosevelt as President for another four years but on the whole it is the best thing to do, C) While Roosevelt has done some good things, the country would be better off under Willkie for the next four years, D) The re-election of Mr. Roosevelt for another four years would be a very bad thing for the country?",,Asked of Form T half sample,09/1/1940,Gallup Organization,,Gallup Poll (AIPO),09/5/1940,09/10/1940,Y,National Adult,4545,,Face-to-face interview,Sample size is approximate.,0.0,0.0,0.0
USROPER.40-021.R15AC,False,Do you think that Roosevelt and Willkie agree... on the foreign policy we should pursue... or do you think they disagree?,,,09/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,09/1/1940,09/30/1940,N,National adult,5215,,Face-to-face interview,,0.0,0.0,0.0
USGALLUP.40-204.QKT12,True,"If the Presidential election were held today, would you vote for the Republican candidate, Willkie, or the Democratic candidate, Roosevelt?",* = less than .5 percent,,08/1/1940,Gallup Organization,,Gallup Poll (AIPO),08/2/1940,08/7/1940,Y,National Adult,3079,,Face-to-face interview,Sample size is approximate.,44.0,46.0,10.0
USGALLUP.40-201.QKT04,True,"If President Roosevelt runs for a third term on the Democratic ticket against Wendell Willkie on the Republican ticket, how would you vote?",,Asked of those age 21 or over,07/1/1940,Gallup Organization,,Gallup Poll (AIPO),07/13/1940,07/18/1940,Y,National Adult,3175,,Face-to-face interview,Sample size is approximate.,46.0,40.0,14.0
USGALLUP.40-217.Q02A,True,"If the Presidential election were held today, would you vote for Willkie or Roosevelt?",* = less than .5 percent,,11/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/24/1940,10/29/1940,Y,National Adult,5449,,Face-to-face interview,"Sample size is approximate. The sample included registered voters, those who planned to register, and those who would be eligible to vote if registration wasn't required for voting.",49.0,43.0,8.0
USGALLUP.111040.R04,False,Who do you think will do a better job of strengthening our national defense--Roosevelt or Willkie?,,,11/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/24/1940,10/29/1940,Y,National Adult,5449,,Face-to-face interview,"Sample size is approximate. The sample included registered voters, those who planned to register, and those who would be eligible to vote if registration wasn't required for voting.",0.0,0.0,0.0
USROPER.40-021.R15BD,False,(Which one do you agree with--Roosevelt or Willkie--on the following propositions?)... How to increase business confidence,,Asked of those who said that Roosevelt and Willkie disagree on this proposition (52%),09/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,09/1/1940,09/30/1940,N,National adult,5215,,Face-to-face interview,,0.0,0.0,0.0
USROPER.40-022.R06AB,False,"(Asked only of those who expect to vote for Roosevelt, Willkie or 'Other' in November 1940) (If any of these things happened between now and election day, would you be inclined to change your vote for President?)... The sinking by the Germans of an American owned and operated ship",,"Respondents expect to vote for Roosevelt, Willkie, Other (86%)",10/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,10/1/1940,10/31/1940,N,National adult,5151,,Face-to-face interview,,0.0,0.0,0.0
USROPER.40-022.R04,False,Which one of these four statements comes closest to expressing your own opinion of Wendell Willkie?,,,10/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,10/1/1940,10/31/1940,N,National adult,5151,,Face-to-face interview,,0.0,0.0,0.0
USGALLUP.40-219.QKT02A,True,"If the presidential election were held today, would you vote for Roosevelt or Willkie?",* = less than .5 percent,,11/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/26/1940,10/31/1940,Y,National Adult,5378,,Face-to-face interview,"Sample size is approximate. The sample included registered voters, those who planned to register, and those who would be eligible to vote if registration wasn't required to vote.",47.0,45.0,8.0
USGALLUP.40-212.QKT03,False,"Regardless of how you, yourself, plan to vote, which Presidential candidate do you think will win?",* = less than .5 percent,,10/1/1940,Gallup Organization,,Gallup Poll (AIPO),09/28/1940,10/3/1940,Y,National Adult,3213,,Face-to-face interview,Sample size is approximate.,0.0,0.0,0.0
USROPER.40-019.R13B,False,Which of the following most nearly represents your opinion of Mr. Willkie?,,Asked of those who would vote for Roosevelt and not Willkie (44%),07/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,07/1/1940,07/31/1940,N,National adult,2540,,Face-to-face interview,,0.0,0.0,0.0
USGALLUP.40-221.Q02A,True,"If the Presidential election were held today, would you vote for Roosevelt or Willkie?",* = less than .5 percent,,10/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/25/1940,10/29/1940,Y,National Adult,3161,,Face-to-face interview,"Sample size is approximate. The sample included registered voters, those who planned to register, and those who would be eligible to vote if registration wasn't required for voting.",48.0,44.0,8.0
USGALLUP.071240.RK09,True,If President Roosevelt runs for a third term on the Democratic ticket against Wendell Willkie on the Republican ticket how would you vote?,,,07/1/1940,Gallup Organization,,Gallup Poll (AIPO),07/5/1940,07/10/1940,Y,National Adult,3132,,Face-to-face interview,Sample size is approximate.,48.0,42.0,10.0
USROPER.40-021.R15AA,False,Do you think that Roosevelt and Willkie agree... that the government should economize on everything except preparedness... or do you think they disagree?,,,09/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,09/1/1940,09/30/1940,N,National adult,5215,,Face-to-face interview,,0.0,0.0,0.0
USROPER.40-021.R15AB,False,Do you think that Roosevelt and Willkie agree... that most New Deal reforms should be continued... or do you think they disagree?,,,09/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,09/1/1940,09/30/1940,N,National adult,5215,,Face-to-face interview,,0.0,0.0,0.0
USGALLUP.40-216.QKT02D,False,"Regardless of how you, yourself, plan to vote, which Presidential candidate do you think will win?",* = less than .5 percent,,10/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/21/1940,10/26/1940,Y,National Adult,5643,,Face-to-face interview,"Sample size is approximate. The sample included registered voters, those who planned to register and those who would be eligible to vote if registration weren't required to vote.",0.0,0.0,0.0
USGALLUP.40-219.QK02B,False,"Which one of these four statements comes closest to expressing your own opinion about Mr. Roosevelt? A) In times like these it is absolutely essential to have a man like Roosevelt for President. B) There may be some reasons against having Roosevelt as President for another four years but on the whole it is the best thing to do. C) While Roosevelt has done some good things, the country would be better off under Willkie for the next four years. D) The re-election of Mr. Roosevelt for another four years would be a very bad thing for the country.",,Asked of Form K half sample,11/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/26/1940,10/31/1940,Y,National Adult,5378,,Face-to-face interview,"Sample size is approximate. The sample included registered voters, those who planned to register, and those who would be eligible to vote if registration wasn't required to vote.",0.0,0.0,0.0
USROPER.40-020.R08,False,Do you feel that (the 1940 election between Roosevelt and Willkie) will be a close election?,,,08/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,08/1/1940,08/31/1940,N,National adult,5192,,Face-to-face interview,,0.0,0.0,0.0
USGALLUP.40-202.QK03,True,"If the Presidential election were held today, would you vote for the Republican candidate, Willkie, or the Democratic candidate, Roosevelt?",,Asked of Form K half sample,08/1/1940,Gallup Organization,,Gallup Poll (AIPO),07/18/1940,07/23/1940,Y,National Adult,4594,,Face-to-face interview,Sample size is approximate.,44.0,43.0,13.0
USROPER.40-020.R02,False,Which one of these four statements comes closest to expressing your own opinion of Mr. Roosevelt?,,,08/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,08/1/1940,08/31/1940,N,National adult,5192,,Face-to-face interview,,0.0,0.0,0.0
USROPER.40-019.R13C,False,Which of the following most nearly represents your opinion of Mr. Willkie?,,Asked of those who would vote for Willkie and not Roosevelt (41%),07/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,07/1/1940,07/31/1940,N,National adult,2540,,Face-to-face interview,,0.0,0.0,0.0
USROPER.40-021.R10,False,"Regardless of what you hope, who do you think will win (the 1940 presidential election), Roosevelt or Willkie?",,,09/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,09/1/1940,09/30/1940,N,National adult,5215,,Face-to-face interview,,0.0,0.0,0.0
USROPER.40-022.R07,False,"Regardless of what you hope, who do you think will win (the Presidential election in 1940), Roosevelt or Willkie?",,,10/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,10/1/1940,10/31/1940,N,National adult,5151,,Face-to-face interview,,0.0,0.0,0.0
USGALLUP.40-203.QK02,True,"If the Presidential election were held today, would you vote for the Republican ticket of Willkie and McNary, or the Democratic ticket of Roosevelt and Wallace?",* = less than .5 percent,Asked of Form K half sample,07/1/1940,Gallup Organization,,Gallup Poll (AIPO),07/21/1940,07/26/1940,Y,National Adult,3408,,Face-to-face interview,Sample size is approximate.,42.0,43.0,15.0
USGALLUP.40-204.QKT02,False,"Regardless of how you, yourself, plan to vote, who do you think will be elected President?",* = less than .5 percent,,08/1/1940,Gallup Organization,,Gallup Poll (AIPO),08/2/1940,08/7/1940,Y,National Adult,3079,,Face-to-face interview,Sample size is approximate.,0.0,0.0,0.0
USGALLUP.40-218.QK02B,False,"Regardless of how you, yourself plan to vote, which Presidential candidate do you think will win?",,Asked of Form K half sample,11/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/26/1940,10/31/1940,Y,National Adult,4963,,Face-to-face interview,"Sample size is approximate. The sample included registered voters, those who planned to register, and those who would be eligible to vote if registration wasn't required for voting.",0.0,0.0,0.0
USGALLUP.40-205.QKT08,False,"Does the newspaper which you read support Willkie, or Roosevelt?",,,08/1/1940,Gallup Organization,,Gallup Poll (AIPO),08/10/1940,08/16/1940,Y,National Adult,5825,,Face-to-face interview,"Form K interviewed Aug. 10-15, 1940, Form T Aug. 11-16, 1940. Sample size is approximate.",0.0,0.0,0.0
USGALLUP.40-216.QK02A,True,"If the Presidential election were held today, would you vote for the Democratic ticket of Roosevelt and Wallace, or the Republican ticket of Wallace and McNary?",* = less than .5 percent,Asked of Form K half sample,10/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/21/1940,10/26/1940,Y,National Adult,5643,,Face-to-face interview,"Sample size is approximate. The sample included registered voters, those who planned to register and those who would be eligible to vote if registration weren't required to vote.",53.0,47.0,0.0
USGALLUP.40-219.QKT02D,False,"Regardless of how you, yourself, plan to vote, which Presidential candidate do you think will win?",* = less than .5 percent,,11/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/26/1940,10/31/1940,Y,National Adult,5378,,Face-to-face interview,"Sample size is approximate. The sample included registered voters, those who planned to register, and those who would be eligible to vote if registration wasn't required to vote.",0.0,0.0,0.0
