QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote,isValid
USYANK.768560.Q5A,Ford,45,"If the (1976 Presidential) election were being held today and you had to choose between the Democratic ticket headed by Carter and the Republican ticket headed by Ford, for whom would you vote?",,,10/22/1976,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",10/16/1976,10/19/1976,Y,National Adult,586,,Telephone Interview,Re-interviews with 586 out of an original sample of 1574 registered voters first interviewed 10/16-19/76.,True
USYANK.768560.Q5A,Not sure,7,"If the (1976 Presidential) election were being held today and you had to choose between the Democratic ticket headed by Carter and the Republican ticket headed by Ford, for whom would you vote?",,,10/22/1976,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",10/16/1976,10/19/1976,Y,National Adult,586,,Telephone Interview,Re-interviews with 586 out of an original sample of 1574 registered voters first interviewed 10/16-19/76.,True
USCBSNYT.76DEB2.Q59,Changed from Ford,1,"Did the second (Presidential election) debate last Wednesday (October 6, 1976) change your mind about who you'll vote for? (If Yes, ask:) How? (If No, ask:) Did the debate make you more sure of your choice or less sure?or didn't it make any difference one way or the other?",,Asked of those who watched/listened to the debate (86%),10/14/1976,CBS News; New York Times,,CBS News/New York Times Poll,10/8/1976,10/12/1976,Y,Registered Voters,1800,,Telephone Interview,,False
USCBSNYT.76DEB2.Q59,Changed from Carter,1,"Did the second (Presidential election) debate last Wednesday (October 6, 1976) change your mind about who you'll vote for? (If Yes, ask:) How? (If No, ask:) Did the debate make you more sure of your choice or less sure?or didn't it make any difference one way or the other?",,Asked of those who watched/listened to the debate (86%),10/14/1976,CBS News; New York Times,,CBS News/New York Times Poll,10/8/1976,10/12/1976,Y,Registered Voters,1800,,Telephone Interview,,False
USCBSNYT.76DEB2.Q59,Changed from undecided,1,"Did the second (Presidential election) debate last Wednesday (October 6, 1976) change your mind about who you'll vote for? (If Yes, ask:) How? (If No, ask:) Did the debate make you more sure of your choice or less sure?or didn't it make any difference one way or the other?",,Asked of those who watched/listened to the debate (86%),10/14/1976,CBS News; New York Times,,CBS News/New York Times Poll,10/8/1976,10/12/1976,Y,Registered Voters,1800,,Telephone Interview,,False
USCBSNYT.76DEB2.Q59,More sure of choice,30,"Did the second (Presidential election) debate last Wednesday (October 6, 1976) change your mind about who you'll vote for? (If Yes, ask:) How? (If No, ask:) Did the debate make you more sure of your choice or less sure?or didn't it make any difference one way or the other?",,Asked of those who watched/listened to the debate (86%),10/14/1976,CBS News; New York Times,,CBS News/New York Times Poll,10/8/1976,10/12/1976,Y,Registered Voters,1800,,Telephone Interview,,False
USCBSNYT.76DEB2.Q59,Less sure of choice,6,"Did the second (Presidential election) debate last Wednesday (October 6, 1976) change your mind about who you'll vote for? (If Yes, ask:) How? (If No, ask:) Did the debate make you more sure of your choice or less sure?or didn't it make any difference one way or the other?",,Asked of those who watched/listened to the debate (86%),10/14/1976,CBS News; New York Times,,CBS News/New York Times Poll,10/8/1976,10/12/1976,Y,Registered Voters,1800,,Telephone Interview,,False
USCBSNYT.76DEB2.Q59,Made no difference,59,"Did the second (Presidential election) debate last Wednesday (October 6, 1976) change your mind about who you'll vote for? (If Yes, ask:) How? (If No, ask:) Did the debate make you more sure of your choice or less sure?or didn't it make any difference one way or the other?",,Asked of those who watched/listened to the debate (86%),10/14/1976,CBS News; New York Times,,CBS News/New York Times Poll,10/8/1976,10/12/1976,Y,Registered Voters,1800,,Telephone Interview,,False
USCBSNYT.76DEB2.Q59,Don't know,2,"Did the second (Presidential election) debate last Wednesday (October 6, 1976) change your mind about who you'll vote for? (If Yes, ask:) How? (If No, ask:) Did the debate make you more sure of your choice or less sure?or didn't it make any difference one way or the other?",,Asked of those who watched/listened to the debate (86%),10/14/1976,CBS News; New York Times,,CBS News/New York Times Poll,10/8/1976,10/12/1976,Y,Registered Voters,1800,,Telephone Interview,,False
USYANK.768550.Q07E,Carter,47,"Every candidate has his strong points and his weak points. Now I'd like to know your honest opinion about each one of the major (1976 Presidential) candidates regardless of how you finally decide to vote. Who do you think would do more to...Encourage average citizens to participate in government more...Carter or Ford, both the same or neither one?",,,10/19/1976,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",10/16/1976,10/19/1976,Y,Registered voters,1574,,Telephone Interview,,False
USYANK.768550.Q07E,Ford,19,"Every candidate has his strong points and his weak points. Now I'd like to know your honest opinion about each one of the major (1976 Presidential) candidates regardless of how you finally decide to vote. Who do you think would do more to...Encourage average citizens to participate in government more...Carter or Ford, both the same or neither one?",,,10/19/1976,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",10/16/1976,10/19/1976,Y,Registered voters,1574,,Telephone Interview,,False
USYANK.768550.Q07E,Both same,20,"Every candidate has his strong points and his weak points. Now I'd like to know your honest opinion about each one of the major (1976 Presidential) candidates regardless of how you finally decide to vote. Who do you think would do more to...Encourage average citizens to participate in government more...Carter or Ford, both the same or neither one?",,,10/19/1976,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",10/16/1976,10/19/1976,Y,Registered voters,1574,,Telephone Interview,,False
USYANK.768550.Q07E,Neither one,14,"Every candidate has his strong points and his weak points. Now I'd like to know your honest opinion about each one of the major (1976 Presidential) candidates regardless of how you finally decide to vote. Who do you think would do more to...Encourage average citizens to participate in government more...Carter or Ford, both the same or neither one?",,,10/19/1976,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",10/16/1976,10/19/1976,Y,Registered voters,1574,,Telephone Interview,,False
USYANK.768560.Q2D,Carter,33,Who do you feel came out best in the (Presidential) debate tonight Carter or Ford--or do you feel that they both did the same?,A subsequent question asked those registered voters who said Carter or Ford came out best what impressed them most about their candidate.  Contact the Roper Center for this information.,Registered voters who watched Carter-Ford debate (67%).,10/22/1976,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",10/16/1976,10/19/1976,Y,National Adult,586,,Telephone Interview,Re-interviews with 586 out of an original sample of 1574 registered voters first interviewed 10/16-19/76.,False
USYANK.768560.Q2D,Ford,26,Who do you feel came out best in the (Presidential) debate tonight Carter or Ford--or do you feel that they both did the same?,A subsequent question asked those registered voters who said Carter or Ford came out best what impressed them most about their candidate.  Contact the Roper Center for this information.,Registered voters who watched Carter-Ford debate (67%).,10/22/1976,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",10/16/1976,10/19/1976,Y,National Adult,586,,Telephone Interview,Re-interviews with 586 out of an original sample of 1574 registered voters first interviewed 10/16-19/76.,False
USYANK.768560.Q2D,Both same,42,Who do you feel came out best in the (Presidential) debate tonight Carter or Ford--or do you feel that they both did the same?,A subsequent question asked those registered voters who said Carter or Ford came out best what impressed them most about their candidate.  Contact the Roper Center for this information.,Registered voters who watched Carter-Ford debate (67%).,10/22/1976,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",10/16/1976,10/19/1976,Y,National Adult,586,,Telephone Interview,Re-interviews with 586 out of an original sample of 1574 registered voters first interviewed 10/16-19/76.,False
USYANK.768560.Q3E,Carter,27,"Every candidate has his strong points and his weak points. I'd like to know your honest opinion about each one of the (Presidential) candidates regardless of how you finally decide to vote. Which one do you think will ...Handle foreign affairs more effectively... Carter, Ford, both the same or neither one?",,Registered voters who watched Carter-Ford debate (67%),10/22/1976,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",10/16/1976,10/19/1976,Y,National Adult,586,,Telephone Interview,Re-interviews with 586 out of an original sample of 1574 registered voters first interviewed 10/16-19/76.,False
USYANK.768560.Q3E,Ford,57,"Every candidate has his strong points and his weak points. I'd like to know your honest opinion about each one of the (Presidential) candidates regardless of how you finally decide to vote. Which one do you think will ...Handle foreign affairs more effectively... Carter, Ford, both the same or neither one?",,Registered voters who watched Carter-Ford debate (67%),10/22/1976,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",10/16/1976,10/19/1976,Y,National Adult,586,,Telephone Interview,Re-interviews with 586 out of an original sample of 1574 registered voters first interviewed 10/16-19/76.,False
USYANK.768560.Q3E,Both,11,"Every candidate has his strong points and his weak points. I'd like to know your honest opinion about each one of the (Presidential) candidates regardless of how you finally decide to vote. Which one do you think will ...Handle foreign affairs more effectively... Carter, Ford, both the same or neither one?",,Registered voters who watched Carter-Ford debate (67%),10/22/1976,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",10/16/1976,10/19/1976,Y,National Adult,586,,Telephone Interview,Re-interviews with 586 out of an original sample of 1574 registered voters first interviewed 10/16-19/76.,False
USYANK.768560.Q3E,Neither,5,"Every candidate has his strong points and his weak points. I'd like to know your honest opinion about each one of the (Presidential) candidates regardless of how you finally decide to vote. Which one do you think will ...Handle foreign affairs more effectively... Carter, Ford, both the same or neither one?",,Registered voters who watched Carter-Ford debate (67%),10/22/1976,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",10/16/1976,10/19/1976,Y,National Adult,586,,Telephone Interview,Re-interviews with 586 out of an original sample of 1574 registered voters first interviewed 10/16-19/76.,False
USCBSNYT.76DEB1.Q09I,Ford,19,"(I would like to read you a list of sentences that people have used about candidates for public office.  For each sentence, I would like you to tell me whether it fits Gerald Ford or Jimmy Carter better.  If you feel the sentence fits neither person, or fits both people equally, just say so.)?He promises things he can't deliver.",,,09/30/1976,CBS News; New York Times,,CBS News/New York Times Poll,09/24/1976,09/25/1976,Y,Registered Voters,1167,,Telephone Interview,,False
USCBSNYT.76DEB1.Q09I,Carter,34,"(I would like to read you a list of sentences that people have used about candidates for public office.  For each sentence, I would like you to tell me whether it fits Gerald Ford or Jimmy Carter better.  If you feel the sentence fits neither person, or fits both people equally, just say so.)?He promises things he can't deliver.",,,09/30/1976,CBS News; New York Times,,CBS News/New York Times Poll,09/24/1976,09/25/1976,Y,Registered Voters,1167,,Telephone Interview,,False
USCBSNYT.76DEB1.Q09I,Both the same (Vol.),26,"(I would like to read you a list of sentences that people have used about candidates for public office.  For each sentence, I would like you to tell me whether it fits Gerald Ford or Jimmy Carter better.  If you feel the sentence fits neither person, or fits both people equally, just say so.)?He promises things he can't deliver.",,,09/30/1976,CBS News; New York Times,,CBS News/New York Times Poll,09/24/1976,09/25/1976,Y,Registered Voters,1167,,Telephone Interview,,False
USCBSNYT.76DEB1.Q09I,Neither (Vol.),12,"(I would like to read you a list of sentences that people have used about candidates for public office.  For each sentence, I would like you to tell me whether it fits Gerald Ford or Jimmy Carter better.  If you feel the sentence fits neither person, or fits both people equally, just say so.)?He promises things he can't deliver.",,,09/30/1976,CBS News; New York Times,,CBS News/New York Times Poll,09/24/1976,09/25/1976,Y,Registered Voters,1167,,Telephone Interview,,False
USCBSNYT.76DEB1.Q09I,Don't know,8,"(I would like to read you a list of sentences that people have used about candidates for public office.  For each sentence, I would like you to tell me whether it fits Gerald Ford or Jimmy Carter better.  If you feel the sentence fits neither person, or fits both people equally, just say so.)?He promises things he can't deliver.",,,09/30/1976,CBS News; New York Times,,CBS News/New York Times Poll,09/24/1976,09/25/1976,Y,Registered Voters,1167,,Telephone Interview,,False
USCBSNYT.76DEB1.Q09I,No answer,2,"(I would like to read you a list of sentences that people have used about candidates for public office.  For each sentence, I would like you to tell me whether it fits Gerald Ford or Jimmy Carter better.  If you feel the sentence fits neither person, or fits both people equally, just say so.)?He promises things he can't deliver.",,,09/30/1976,CBS News; New York Times,,CBS News/New York Times Poll,09/24/1976,09/25/1976,Y,Registered Voters,1167,,Telephone Interview,,False
USCBSNYT.092676.R11E,Yes,53,Have to talked about the first debate (1976 Ford-Carter Presidential) with other people?,,,09/30/1976,CBS News; New York Times,,CBS News/New York Times Poll,09/24/1976,09/25/1976,Y,Registered Voters,1167,,Telephone Interview,,False
USCBSNYT.092676.R11E,No,25,Have to talked about the first debate (1976 Ford-Carter Presidential) with other people?,,,09/30/1976,CBS News; New York Times,,CBS News/New York Times Poll,09/24/1976,09/25/1976,Y,Registered Voters,1167,,Telephone Interview,,False
USCBSNYT.092676.R11E,Not asked--haven't followed debates or Don't know/No answer,21,Have to talked about the first debate (1976 Ford-Carter Presidential) with other people?,,,09/30/1976,CBS News; New York Times,,CBS News/New York Times Poll,09/24/1976,09/25/1976,Y,Registered Voters,1167,,Telephone Interview,,False
USGALLUP.960.Q004A,Ford-Dole,40,"If the (1976) presidential election were being held TODAY, which candidate would you vote for--the Democratic candidates Carter and Mondale, or the Republican candidates Ford and Dole?",,,10/11/1976,Gallup Organization,,Gallup Poll (AIPO),10/8/1976,10/11/1976,Y,National adult,1538,,Face-to-face interview,,True
USGALLUP.960.Q004A,Carter-Mondale,55,"If the (1976) presidential election were being held TODAY, which candidate would you vote for--the Democratic candidates Carter and Mondale, or the Republican candidates Ford and Dole?",,,10/11/1976,Gallup Organization,,Gallup Poll (AIPO),10/8/1976,10/11/1976,Y,National adult,1538,,Face-to-face interview,,True
USGALLUP.960.Q004A,Other (vol.),2,"If the (1976) presidential election were being held TODAY, which candidate would you vote for--the Democratic candidates Carter and Mondale, or the Republican candidates Ford and Dole?",,,10/11/1976,Gallup Organization,,Gallup Poll (AIPO),10/8/1976,10/11/1976,Y,National adult,1538,,Face-to-face interview,,True
USGALLUP.960.Q004A,Undecided,3,"If the (1976) presidential election were being held TODAY, which candidate would you vote for--the Democratic candidates Carter and Mondale, or the Republican candidates Ford and Dole?",,,10/11/1976,Gallup Organization,,Gallup Poll (AIPO),10/8/1976,10/11/1976,Y,National adult,1538,,Face-to-face interview,,True
USGALLUP.959.Q016B,Ford,24,"Please tell me whether you feel this group would be better off with Ford as the next president, or with Carter as the next President? Small-business people",,,09/27/1976,Gallup Organization,,Gallup Poll (AIPO),09/24/1976,09/27/1976,Y,National Adult,1498,,Face-to-face interview,,False
USGALLUP.959.Q016B,Carter,57,"Please tell me whether you feel this group would be better off with Ford as the next president, or with Carter as the next President? Small-business people",,,09/27/1976,Gallup Organization,,Gallup Poll (AIPO),09/24/1976,09/27/1976,Y,National Adult,1498,,Face-to-face interview,,False
USGALLUP.959.Q016B,No difference (vol.),8,"Please tell me whether you feel this group would be better off with Ford as the next president, or with Carter as the next President? Small-business people",,,09/27/1976,Gallup Organization,,Gallup Poll (AIPO),09/24/1976,09/27/1976,Y,National Adult,1498,,Face-to-face interview,,False
USGALLUP.959.Q016B,Undecided,12,"Please tell me whether you feel this group would be better off with Ford as the next president, or with Carter as the next President? Small-business people",,,09/27/1976,Gallup Organization,,Gallup Poll (AIPO),09/24/1976,09/27/1976,Y,National Adult,1498,,Face-to-face interview,,False
USYANK.768540.Q07C1,Improved,21,"Regardless of your own first choice, have your impressions of Jimmy Carter improved, stayed the same, or gotten worse as a result of his performance during the (Ford-Carter Presidential) debate?",,Reg. voters who watched debate (76%),09/29/1976,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",09/25/1976,09/29/1976,Y,Registered voters,1304,,Telephone Interview,,False
USYANK.768540.Q07C1,Stayed the same,59,"Regardless of your own first choice, have your impressions of Jimmy Carter improved, stayed the same, or gotten worse as a result of his performance during the (Ford-Carter Presidential) debate?",,Reg. voters who watched debate (76%),09/29/1976,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",09/25/1976,09/29/1976,Y,Registered voters,1304,,Telephone Interview,,False
USYANK.768540.Q07C1,Gotten worse,17,"Regardless of your own first choice, have your impressions of Jimmy Carter improved, stayed the same, or gotten worse as a result of his performance during the (Ford-Carter Presidential) debate?",,Reg. voters who watched debate (76%),09/29/1976,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",09/25/1976,09/29/1976,Y,Registered voters,1304,,Telephone Interview,,False
USYANK.768540.Q07C1,Not sure,3,"Regardless of your own first choice, have your impressions of Jimmy Carter improved, stayed the same, or gotten worse as a result of his performance during the (Ford-Carter Presidential) debate?",,Reg. voters who watched debate (76%),09/29/1976,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",09/25/1976,09/29/1976,Y,Registered voters,1304,,Telephone Interview,,False
USCBSNYT.101476.R15,Ford,35,Both (1976) presidential candidates have been talking about taxes. Whose policy do you prefer--Ford's or Carter's?,,,10/14/1976,CBS News; New York Times,,CBS News/New York Times Poll,10/8/1976,10/12/1976,Y,Registered Voters,1800,,Telephone Interview,,False
USCBSNYT.101476.R15,Carter,38,Both (1976) presidential candidates have been talking about taxes. Whose policy do you prefer--Ford's or Carter's?,,,10/14/1976,CBS News; New York Times,,CBS News/New York Times Poll,10/8/1976,10/12/1976,Y,Registered Voters,1800,,Telephone Interview,,False
USCBSNYT.101476.R15,Someone else (vol.),2,Both (1976) presidential candidates have been talking about taxes. Whose policy do you prefer--Ford's or Carter's?,,,10/14/1976,CBS News; New York Times,,CBS News/New York Times Poll,10/8/1976,10/12/1976,Y,Registered Voters,1800,,Telephone Interview,,False
USCBSNYT.101476.R15,Don't know,25,Both (1976) presidential candidates have been talking about taxes. Whose policy do you prefer--Ford's or Carter's?,,,10/14/1976,CBS News; New York Times,,CBS News/New York Times Poll,10/8/1976,10/12/1976,Y,Registered Voters,1800,,Telephone Interview,,False
USYANK.768540.Q09A6,Very important reason,68,"People who are voting for Ford (for President in 1976) have given us a number of different reasons. Will you tell me for each of the following whether this is a very important reason, a fairly important reason or not such an important reason as far as you, personally, are concerned: You have too many questions and doubts about Jimmy Carter",,Reg. voters who prefer Ford (46%),09/29/1976,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",09/25/1976,09/29/1976,Y,Registered voters,1304,,Telephone Interview,,False
USYANK.768540.Q09A6,Fairly important reason,23,"People who are voting for Ford (for President in 1976) have given us a number of different reasons. Will you tell me for each of the following whether this is a very important reason, a fairly important reason or not such an important reason as far as you, personally, are concerned: You have too many questions and doubts about Jimmy Carter",,Reg. voters who prefer Ford (46%),09/29/1976,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",09/25/1976,09/29/1976,Y,Registered voters,1304,,Telephone Interview,,False
USYANK.768540.Q09A6,Not such an important reason,9,"People who are voting for Ford (for President in 1976) have given us a number of different reasons. Will you tell me for each of the following whether this is a very important reason, a fairly important reason or not such an important reason as far as you, personally, are concerned: You have too many questions and doubts about Jimmy Carter",,Reg. voters who prefer Ford (46%),09/29/1976,"Yankelovich, Skelly & White",Time Magazine,"Time/Yankelovich, Skelly & White Poll",09/25/1976,09/29/1976,Y,Registered voters,1304,,Telephone Interview,,False
USGALLUP.961.Q005A,Ford,36,If the (1976) presidential election were being held TODAY which of these candidates would you vote for?,,,10/25/1976,Gallup Organization,,Gallup Poll (AIPO),10/22/1976,10/25/1976,Y,National Adult,1550,,Face-to-face interview,,True
USGALLUP.961.Q005A,Carter,48,If the (1976) presidential election were being held TODAY which of these candidates would you vote for?,,,10/25/1976,Gallup Organization,,Gallup Poll (AIPO),10/22/1976,10/25/1976,Y,National Adult,1550,,Face-to-face interview,,True
USGALLUP.961.Q005A,McCarthy,3,If the (1976) presidential election were being held TODAY which of these candidates would you vote for?,,,10/25/1976,Gallup Organization,,Gallup Poll (AIPO),10/22/1976,10/25/1976,Y,National Adult,1550,,Face-to-face interview,,True
USGALLUP.961.Q005A,Maddox,1,If the (1976) presidential election were being held TODAY which of these candidates would you vote for?,,,10/25/1976,Gallup Organization,,Gallup Poll (AIPO),10/22/1976,10/25/1976,Y,National Adult,1550,,Face-to-face interview,,True
USGALLUP.961.Q005A,Other (vol.),2,If the (1976) presidential election were being held TODAY which of these candidates would you vote for?,,,10/25/1976,Gallup Organization,,Gallup Poll (AIPO),10/22/1976,10/25/1976,Y,National Adult,1550,,Face-to-face interview,,True
USGALLUP.961.Q005A,Undecided,11,If the (1976) presidential election were being held TODAY which of these candidates would you vote for?,,,10/25/1976,Gallup Organization,,Gallup Poll (AIPO),10/22/1976,10/25/1976,Y,National Adult,1550,,Face-to-face interview,,True
USCBSNYT.092676.R13,Very interesting,30,"All in all, how interesting did you find the (first 1976 Ford-Carter Presidential) debate...very interesting, fairly interesting, of little interest, or no interest at all?",,Registered voters who have followed debate (79%),09/30/1976,CBS News; New York Times,,CBS News/New York Times Poll,09/24/1976,09/25/1976,Y,Registered Voters,1167,,Telephone Interview,,False
USCBSNYT.092676.R13,Fairly interesting,43,"All in all, how interesting did you find the (first 1976 Ford-Carter Presidential) debate...very interesting, fairly interesting, of little interest, or no interest at all?",,Registered voters who have followed debate (79%),09/30/1976,CBS News; New York Times,,CBS News/New York Times Poll,09/24/1976,09/25/1976,Y,Registered Voters,1167,,Telephone Interview,,False
USCBSNYT.092676.R13,Of little interest,20,"All in all, how interesting did you find the (first 1976 Ford-Carter Presidential) debate...very interesting, fairly interesting, of little interest, or no interest at all?",,Registered voters who have followed debate (79%),09/30/1976,CBS News; New York Times,,CBS News/New York Times Poll,09/24/1976,09/25/1976,Y,Registered Voters,1167,,Telephone Interview,,False
USCBSNYT.092676.R13,No interest at all,5,"All in all, how interesting did you find the (first 1976 Ford-Carter Presidential) debate...very interesting, fairly interesting, of little interest, or no interest at all?",,Registered voters who have followed debate (79%),09/30/1976,CBS News; New York Times,,CBS News/New York Times Poll,09/24/1976,09/25/1976,Y,Registered Voters,1167,,Telephone Interview,,False
USCBSNYT.092676.R13,Don't know/No answer/Refused,2,"All in all, how interesting did you find the (first 1976 Ford-Carter Presidential) debate...very interesting, fairly interesting, of little interest, or no interest at all?",,Registered voters who have followed debate (79%),09/30/1976,CBS News; New York Times,,CBS News/New York Times Poll,09/24/1976,09/25/1976,Y,Registered Voters,1167,,Telephone Interview,,False
USGALLUP.102176.R1,Carter-Mondale,47,"If the (1976) presidential election were being held today, which of these candidates would you vote for? (Card lists Ford-Dole, Carter-Mondale, McCarthy and Maddox.)",,Registered voters (74%),10/21/1976,Gallup Organization,,Gallup Poll,10/15/1976,10/18/1976,Y,National adult,1402,,Face-to-face interview,,True
USGALLUP.102176.R1,Ford-Dole,41,"If the (1976) presidential election were being held today, which of these candidates would you vote for? (Card lists Ford-Dole, Carter-Mondale, McCarthy and Maddox.)",,Registered voters (74%),10/21/1976,Gallup Organization,,Gallup Poll,10/15/1976,10/18/1976,Y,National adult,1402,,Face-to-face interview,,True
USGALLUP.102176.R1,McCarthy,2,"If the (1976) presidential election were being held today, which of these candidates would you vote for? (Card lists Ford-Dole, Carter-Mondale, McCarthy and Maddox.)",,Registered voters (74%),10/21/1976,Gallup Organization,,Gallup Poll,10/15/1976,10/18/1976,Y,National adult,1402,,Face-to-face interview,,True
USGALLUP.102176.R1,Others (incl. Maddox)/Undecided,10,"If the (1976) presidential election were being held today, which of these candidates would you vote for? (Card lists Ford-Dole, Carter-Mondale, McCarthy and Maddox.)",,Registered voters (74%),10/21/1976,Gallup Organization,,Gallup Poll,10/15/1976,10/18/1976,Y,National adult,1402,,Face-to-face interview,,True
USABCHS.101876.R2,Ford,40,"In some states, former U.S. Senator Eugene McCarthy will also be on the ballot, as an Independent. And in some states, former Governor Lester Maddox will be on the ballot as the candidate for President on the American Independent Party ticket. If they are on the ballot in this state, and you had to make up your mind right now (about the 1976 presidential election), would you vote for Ford the Republican, Carter the Democrat, McCarthy the Independent, or Maddox on the American Independent ticket?",,,10/18/1976,ABC News; Louis Harris and Associates,,Harris Survey,10/7/1976,10/11/1976,Y,Likely voters,1503,,Face-to-face interview,,True
