QuestionID,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote,Approve,Disapprove,No Opinion
31115427.00031,"I'm going to read you the names of several individuals, groups, and items. Please tell me whether you have a generally favorable or unfavorable opinion of each one. If you've never heard of one please just say so....John McCain...Is that strongly favorable/unfavorable or only somewhat?",nan,nan,08/22/2018,Anderson Robbins Research; Shaw & Co. Research,Fox News,Democrats maintain lead in race for House,08/19/2018,08/21/2018,Y,National registered voters,1009,nan,"Telephone Interview, Cell Phone; Telephone Interview, Landline",Interviews were conducted by Braun Research.,52.0,37.0,11.0
31115234.00004,"(We'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them.)...John McCain",nan,nan,06/20/2018,SSRS,Cable News Network (CNN),Support for Democrats ticks up and they retain enthusiasm advantage,06/14/2018,06/17/2018,Y,National adult,1012,FV1_JM,"Telephone Interview, Cell Phone; Telephone Interview, Landline; Computer-Assisted telephone interview (CATI)",nan,50.0,36.0,15.0
USGALLUP.200919.Q04B,"(Next, we'd like to get your overall opinion of some people in the news.  As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them.) How about...John McCain?",* = less than .5%.,nan,10/31/2009,Gallup Organization,USA Today,Gallup/USA Today Poll,10/16/2009,10/19/2009,Y,National adult including an oversample of African Americans,1521,Q4B,"Telephone Interview, Cell Phone; Telephone Interview, Landline",Interviews were conducted with respondents on landline telephones and cellular phones.  The oversample of 408 blacks included 306 interviews with blacks who had previously participated in national Gallup Polls and agreed to be re-interviewed at a later date.  The results are weighted to be representative of a national adult population.,54.0,37.0,9.0
USAP.101710.R01B,"(For each of the following individuals, please select if you have a favorable or unfavorable impression of that person.  If you don't know enough about the person to have an opinion, you can say that too.)...John McCain...(If Favorable/Unfavorable, ask:) (Is that very or somewhat favorable/unfavorable?)",nan,nan,10/17/2010,Knowledge Networks,Associated Press,Associated Press/Knowledge Networks Poll,09/17/2010,10/7/2010,Y,National adult,1254,nan,Web-based survey,"The poll was fielded by Knowledge Networks using its national pane, which is randomly selected from the entire national population and subsequently provided Internet access, if needed.",39.0,46.0,14.0
USPSRA.091113.R17DF2,"Would you say your overall opinion of...John McCain is very favorable, mostly favorable, mostly unfavorable, or very unfavorable?",Asked of Form 2 half sample,nan,09/11/2013,Princeton Survey Research Associates International,Pew Research Center for the People & the Press,Pew Research Center for the People & the Press Political Survey,09/4/2013,09/8/2013,Y,National adult,1506,nan,"Telephone Interview, Cell Phone; Telephone Interview, Landline","751 respondents were interviewed on a landline telephone, and 755 were interviewed on a cell phone, including 401 who had no landline telephone.",44.0,42.0,13.0
USORC.012710B.R09E,"(We'd like to get your overall opinion of some people in the news.  As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them.)...John McCain",* = less than .5%.,nan,01/27/2010,Opinion Research Corporation,Cable News Network (CNN),CNN/Opinion Research Corporation Poll,01/22/2010,01/24/2010,Y,National adult,1009,Q9E,Telephone Interview,nan,58.0,36.0,5.0
USORC.081209.R07B,"(We'd like to get your overall opinion of some people in the news.  As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them.)...John McCain",nan,nan,08/12/2009,Opinion Research Corporation,Cable News Network (CNN),CNN/Opinion Research Corporation Poll,07/31/2009,08/3/2009,Y,National adult including an oversample of African Americans,1136,Q7G,Telephone Interview,Results are weighted to be representative of a national adult population.,51.0,40.0,9.0
USGALLUP.081417.R25B,"(Next, we'd like to get your overall opinion of some people in the news. As I read each name, place say if you have a favorable or unfavorable opinion of that person--or if you have never heard of them.) How about...Arizona senator, John McCain?",nan,nan,08/14/2017,Gallup Organization,nan,Gallup Poll,08/2/2017,08/6/2017,Y,National adult,1017,nan,Telephone Interview,Interviews were conducted with respondents on landline telephones and cellular phones. The sample includes 30% landline and 70% cell phone respondents.,58.0,33.0,8.0
USCBSNYT.041410A.R035,"Is your opinion of John McCain favorable, not favorable, undecided, or haven't you heard enough about John McCain yet to have an opinion?",nan,nan,04/14/2010,CBS News; New York Times,nan,CBS News/New York Times Poll,04/5/2010,04/12/2010,Y,National adult including an oversample of Tea Party supporters,1591,Q35,"Telephone Interview, Cell Phone; Telephone Interview, Landline",There was a total of 881 interviews with supporters of the Tea Party movement.   Results were weighted to be representative of a national adult population.  The interviews were conducted by land-line and cell phones.,23.0,36.0,41.0
USORC.031614.R04F,"(We'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them.)...John McCain",nan,nan,03/16/2014,Opinion Research Corporation,Cable News Network (CNN),CNN/ORC International Poll,03/7/2014,03/9/2014,Y,National adult,801,Q4F,"Telephone Interview, Cell Phone; Telephone Interview, Landline",The sample included 558 interviews among landline respondents and 243 interviews among cell phone respondents.,47.0,46.0,8.0
USORC.092208.R05B,"(We'd like to get your overall opinion of some people in the news.  As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them.)...John McCain",* = less than .5%.,Registered voters,09/22/2008,Opinion Research Corporation,Cable News Network (CNN),CNN/Opinion Research Corporation Poll,09/19/2008,09/21/2008,Y,National adult,1020,Q5B,Telephone Interview,nan,57.0,40.0,3.0
USORC.090308.R05B,"(We'd like to get your overall opinion of some people in the news.  As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them.)...John McCain",* = less than .5%.,Registered voters,09/3/2008,Opinion Research Corporation,Cable News Network (CNN),CNN/Opinion Research Corporation Poll,08/29/2008,08/31/2008,Y,National adult,1031,Q5B,Telephone Interview,nan,59.0,38.0,3.0
USAP.092308.R02D,"(For each of the following individuals, please select if you have a favorable or unfavorable impression of that person.  If you don't know enough about the person to have an opinion, you can say that too....Very favorable, somewhat favorable, somewhat unfavorable, very unfavorable, don't know enough to say)...John McCain",nan,nan,09/23/2008,Knowledge Networks,Associated Press; Yahoo,Associated Press/Yahoo Poll,08/27/2008,09/5/2008,Y,National adult,2227,nan,Web-based survey,"The poll was fielded by Knowledge Networks using its national panel which is randomly selected from the entire national population and subsequently provided Internet access, if needed.  The poll was done in partnership with Stanford University.",50.0,42.0,8.0
USSRBI.091608.R13B,"Based on what you've seen or heard, do you have a favorable or unfavorable opinion of...John McCain?",nan,nan,09/16/2008,"Abt SRBI, Inc. (Schulman, Ronca, & Bucuvalas, Inc.)",Time Magazine,Time/Abt SRBI Poll,09/11/2008,09/15/2008,Y,Women,1290,Q13B,"Telephone Interview, Cell Phone; Telephone Interview, Landline",nan,57.0,37.0,5.0
USAP.102108.R18C,"(For each of the following individuals, please select if you have a favorable or unfavorable impression of that person.  If you don't know enough about the person to have an opinion, you can say that too....Very favorable, somewhat favorable, somewhat unfavorable, very unfavorable, don't know enough to say)...John McCain",nan,nan,10/21/2008,Knowledge Networks,Associated Press,Associated Press/Knowledge Networks Poll,10/10/2008,10/12/2008,Y,National registered voters,1287,nan,Web-based survey,"The poll was fielded by Knowledge Networks using its national panel which is randomly selected from the entire national population and subsequently provided Internet access, if needed.",47.0,47.0,6.0
USODFOX.121108.R05,(I'm going to read you the names of several individuals.  Please tell me whether you have a generally favorable or unfavorable opinion of each one.  If you've never heard of a particular individual please just say so.)...John McCain,nan,nan,12/11/2008,Opinion Dynamics,Fox News,FOX News/Opinion Dynamics Poll,12/9/2008,12/10/2008,Y,National registered voters,900,nan,Telephone Interview,nan,57.0,37.0,6.0
USAP.103108.R03D,"(For each of the following individuals, please select if you have a favorable or unfavorable impression of that person.  If you don't know enough about the person to have an opinion, you can say that too....Very favorable, somewhat favorable, somewhat unfavorable, very unfavorable)...John McCain",nan,nan,10/21/2008,Knowledge Networks,Associated Press,Associated Press/Knowledge Networks Poll,10/10/2008,10/12/2008,Y,National registered voters,1287,nan,Web-based survey,"The poll was fielded by Knowledge Networks using its national panel which is randomly selected from the entire national population and subsequently provided Internet access, if needed.",49.0,45.0,5.0
USODFOX.011509.R08,(I'm going to read you the names of several individuals.  Please tell me whether you have a generally favorable or unfavorable opinion of each one.  If you've never heard of a particular individual please just say so.)...John McCain,nan,nan,01/15/2009,Opinion Dynamics,Fox News,FOX News/Opinion Dynamics Poll,01/13/2009,01/14/2009,Y,National registered voters,900,nan,Telephone Interview,nan,64.0,29.0,7.0
USGREEN.08DCNOV19.R16,"(Now, I'd like to rate your feelings toward some people and organizations, with one hundred meaning a very warm, favorable feeling, zero meaning a very cold unfavorable feeling, and fifty meaning not particularly warm or cold.  You can use any number from zero to one hundred, the higher the number the more favorable your feelings are toward that person or organization.  If you have no opinion or never heard of that person or organization, please say so.)...John McCain...Give...John McCain a rating, with 100 meaning a very warm, favorable feeling, zero meaning a very cold, unfavorable feeling, and 50 meaning not particularly warm or cold. (If Don't know, ask:) Would you say you are unable to give an opinion of...John McCain, or have you never heard of...John McCain?",Mean = 51.9,nan,12/3/2008,Greenberg Quinlan Rosner Research,Democracy Corps,Democracy Corps Poll,11/19/2008,11/23/2008,Y,National likely voters,1000,nan,Telephone Interview,Likely voters are registered voters who voted in the 2008 and voted in the 2006 election/weren't registered/ineligible/too young to vote and said they are probably or almost certain to vote in the 2010 election.,46.0,33.0,21.0
USODFOX.091008.R09,(I'm going to read you the names of several individuals.  Please tell me whether you have a generally favorable or unfavorable opinion of each one.  If you've never heard of someone please just say so.)...John McCain,nan,nan,09/10/2008,Opinion Dynamics,Fox News,FOX News/Opinion Dynamics Poll,09/8/2008,09/9/2008,Y,National registered voters,900,nan,Telephone Interview,nan,60.0,33.0,7.0
USAP.101708.R04D,"(For each of the following individuals, please select if you have a favorable or unfavorable impression of that person.  If you don't know enough about the person to have an opinion, you can say that too....Very favorable, somewhat favorable, somewhat unfavorable, very unfavorable)...John McCain",nan,nan,10/17/2008,Knowledge Networks,Associated Press; Yahoo,Associated Press/Yahoo Poll,10/3/2008,10/13/2008,Y,National adult,1769,nan,Web-based survey,"The poll was fielded by Knowledge Networks using its national panel which is randomly selected from the entire national population and subsequently provided Internet access, if needed.",52.0,42.0,5.0
USSRBI.093008.R09B,"Just based on what you've seen or heard, do you have a favorable or unfavorable opinion of...John McCain?",nan,Registered likely voters,09/30/2008,"Abt SRBI, Inc. (Schulman, Ronca, & Bucuvalas, Inc.)",Time Magazine,Time/SRBI Poll,09/26/2008,09/29/2008,Y,National adult,1509,Q9B,"Telephone Interview, Cell Phone; Telephone Interview, Landline",nan,54.0,38.0,7.0
USCBS.100108A.R03,"Is your opinion of John McCain favorable, not favorable, undecided, or haven't you heard enough about John McCain yet to have an opinion?",nan,Registered voters,10/1/2008,CBS News,nan,CBS News Poll,09/27/2008,09/30/2008,Y,National adult,1257,nan,Telephone Interview,nan,39.0,42.0,19.0
USTARR.08BATT6.R06,"(Now I would like to read you the names of several individuals who have been mentioned in the news recently.  For each one, please tell me whether you have heard of that person and if so, whether you have a favorable or an unfavorable impression of them.  If you do not recognize the name, just say so.)...John McCain...(If Favorable/Unfavorable, ask:) Would that be a strongly favorable/unfavorable impression or just a somewhat favorable/unfavorable impression?",nan,nan,10/15/2008,Tarrance Group; Lake Research Partners,George Washington University,George Washington University Battleground 2008 Survey,10/9/2008,10/15/2008,Y,National likely voters,1000,nan,Telephone Interview,"Likely voters are registered voters who said they are somewhat/very/extremely likely to vote in 2008, or they had already voted.  Interviews were conducted October 9 and October 12-15, 2008.",42.0,44.0,5.0
USCBS.100608.R03,"Is your opinion of John McCain favorable, not favorable, undecided, or haven't you heard enough about John McCain yet to have an opinion?",nan,Registered voters,10/6/2008,CBS News,nan,CBS News Poll,10/3/2008,10/5/2008,Y,National adult,957,Q3,"Telephone Interview, Cell Phone; Telephone Interview, Landline",The interviews were conducted by land-lines and cell phones.,40.0,38.0,22.0
USODFOX.103008.R08,(I'm going to read you the names of several groups and individuals.  Please tell me whether you have a generally favorable or unfavorable opinion of each one.  If you've never heard of a particular individual or group please just say so.)...John McCain,nan,nan,10/30/2008,Opinion Dynamics,Fox News,FOX News/Opinion Dynamics Poll,10/28/2008,10/29/2008,Y,National registered voters,1100,nan,Telephone Interview,nan,54.0,42.0,4.0
USGREEN.08WOMENV.R14,"(Now, I'd like to rate your feelings toward some people and organizations, with one hundred meaning a very warm, favorable feeling, zero meaning a very cold unfavorable feeling, and fifty meaning not particularly warm or cold.  You can use any number from zero to one hundred, the higher the number the more favorable your feelings are toward that person or organization.  If you have no opinion or never heard of that person or organization, please say so.)...John McCain...Give...John McCain a rating, with 100 meaning a very warm, favorable feeling, zero meaning a very cold, unfavorable feeling, and 50 meaning not particularly warm or cold. (If Don't know, ask:) Would you say you are unable to give an opinion of...John McCain, or have you never heard of...John McCain?",Mean = 40.93,nan,08/22/2008,Greenberg Quinlan Rosner Research,Women's Voices Women Vote,Pre-Convention Battleground Survey,08/12/2008,08/18/2008,Y,National registered unmarried women in presidential battleground states including an oversample of likely voters,781,nan,Telephone Interview,"Results are weighted to be representative of a registered unmarried women in presidential battleground states sample.  The battleground states were Alaska, Colorado, Florida, Georgia, Indiana, Iowa, Michigan, Missouri, Minnesota, Montana, Nevada, New Hampshire, New Mexico, North Carolina, North Dakota, Ohio, Pennsylvania, Virginia and Wisconsin.",27.0,47.0,26.0
USCBSNYT.103008.R03,"Is your opinion of John McCain favorable, not favorable, undecided, or haven't you heard enough about John McCain yet to have an opinion?",nan,Registered voters,10/30/2008,CBS News; New York Times,nan,CBS News/New York Times Poll,10/25/2008,10/29/2008,Y,National adult,1439,Q3,"Telephone Interview, Cell Phone; Telephone Interview, Landline",The interviews were conducted by land-line and cell phones.,41.0,43.0,16.0
USPSRNEW.091208.R07B,"(Please tell me if you have a favorable or unfavorable opinion of the following people in politics.  If I mention someone you have never heard of before, just tell me.) What about...John McCain?  Do you have a favorable or unfavorable opinion of him?",* = less than .5%.,Registered voters,09/12/2008,Princeton Survey Research Associates International,Newsweek,Princeton Survey Research Associates International/Newsweek Poll,09/10/2008,09/11/2008,Y,National adult,1204,Q7B,Telephone Interview,nan,57.0,36.0,7.0
USPSRA.091808.R29AF2,"Now I'd like your views on some people.  As I read some names, please tell me if you have a favorable or unfavorable opinion of each person.  Would you say your overall opinion of...John McCain is very favorable, mostly favorable, mostly unfavorable, or very unfavorable?",* = less than .5%.,Asked of Form 2 half sample,09/18/2008,Princeton Survey Research Associates International,Pew Research Center for the People & the Press,Pew Research Center for the People & the Press Political/Foreign Policy Poll,09/9/2008,09/14/2008,Y,National adult,2982,Q29AF2,"Telephone Interview, Cell Phone; Telephone Interview, Landline","2250 respondents were interviewed via landline telephone and 732 via cell phone, including 254 who had no landline telephone.",58.0,38.0,4.0
USCBS.200810F.Q003,"Is your opinion of John McCain favorable, not favorable, undecided, or haven't you heard enough about John McCain yet to have an opinion?",* = less than .5%.,Asked of Registered voters (79%),11/30/2008,CBS News,nan,CBS News Poll,10/28/2008,10/30/2008,Y,National adult,833,nan,"Telephone Interview, Cell Phone; Telephone Interview, Landline",The interviews were conducted by land-line and cell phones.,41.0,46.0,13.0
USGREEN.08NPRSEP.R03,"I would like to read you a list of names of different people active in politics.  For each one, please tell me, first whether you've heard of the person, then, if so, please tell me whether you have a favorable or unfavorable impression of that person.  If I name someone you don't know too much about, just tell me and we'll go on to the next one....John McCain...(If Favorable/Unfavorable, ask:) Would that be strongly favorable/unfavorable or just somewhat favorable/unfavorable?",* = less than .5%.,nan,09/24/2008,Greenberg Quinlan Rosner Research; Public Opinion Strategies,National Public Radio,NPR Poll,09/18/2008,09/20/2008,Y,Likely voters in presidential battleground states,800,nan,Telephone Interview,"Interviews were conducted September 18 and 20, 2008.  Likely voters are registered voters who voted in the 2004 election/weren't registered/ineligible/too young to vote and said they are probably or almost certain to vote in the 2008 election.  The battleground states were Alaska, Colorado, Florida, Georgia, Indiana, Iowa, Michigan, Missouri, Montana, Nevada, New Hampshire, New Mexico, North Carolina, North Dakota, Ohio, Pennsylvania, Virginia, and Wisconsin.",55.0,42.0,4.0
USCBSNYT.082008.R04,"Is your opinion of John McCain favorable, not favorable, undecided, or haven't you heard enough about John McCain yet to have an opinion?",nan,Registered voters,08/20/2008,CBS News; The New York Times,nan,CBS News/New York Times Poll,08/15/2008,08/19/2008,Y,National adult,1012,nan,Telephone Interview,nan,34.0,33.0,33.0
USORC.102008A.R05B,"(We'd like to get your overall opinion of some people in the news.  As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them.)...John McCain",* = less than .5%.,Registered voters who said they would vote for Obama/McCain including leaners (96% of registered voters),10/20/2008,Opinion Research Corporation,Cable News Network (CNN),CNN/Opinion Research Corporation Poll,10/17/2008,10/19/2008,Y,National adult,1058,Q5B,Telephone Interview,nan,56.0,41.0,3.0
USCBS.080608A.R03,"Is your opinion of John McCain favorable, not favorable, undecided, or haven't you heard enough about John McCain yet to have an opinion?",nan,Registered voters,08/6/2008,CBS News,nan,CBS News Poll,07/31/2008,08/5/2008,Y,National adult,1034,nan,Telephone Interview,nan,33.0,34.0,33.0
USABCWP.110308A.R24B,"Regardless of how you might vote (for president in 2008), do you have a favorable or unfavorable impression of...John McCain? (If Favorable/Unfavorable, ask:) Do you feel that way strongly or somewhat?",nan,"Likely voters interviewed November 1-2, 2008",11/3/2008,ABC News; Washington Post,nan,ABC News/Washington Post Poll,10/30/2008,11/2/2008,Y,National adult,3225,nan,Telephone Interview,The interviews included landline and cell-phone-only respondents.  Interviews were conducted by TNS Intersearch.,54.0,43.0,3.0
USPSRA.100108.R26A,"Now I'd like your views on some people.  As I read some names, please tell me if you have a favorable or unfavorable opinion of each person.  Would you say your overall opinion of...John McCain is very favorable, mostly favorable, mostly unfavorable, or very unfavorable?",* = less than .5%.,nan,10/1/2008,Princeton Survey Research Associates International,Pew Research Center for the People & the Press,Pew Research Center for the People & the Press Political/Post Debate Poll,09/27/2008,09/29/2008,Y,National adult,1505,Q26A,"Telephone Interview, Cell Phone; Telephone Interview, Landline","1130 respondents were interviewed on a landline telephone and 375 were interviewed on a cell phone, including 123 who had no landline telephone.",55.0,38.0,7.0
USGALLUP.08OT003.R29A,"Next, we'd like to get your overall opinion of some people in the news.  As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them.  How about...John McCain?",nan,nan,10/7/2008,Gallup Organization,nan,Gallup Poll,10/3/2008,10/5/2008,Y,National adult,1011,Q29A,"Telephone Interview, Cell Phone; Telephone Interview, Landline","Interviews were conducted with respondents on landline telephones for respondents with a landline telephone, and cellular phones for respondents who are cellphone only.",55.0,40.0,4.0
USWG.08NOV04.R05,"(Please tell me for each of the following whether you have a favorable or an unfavorable impression of that group or person.)...John McCain...(If Favorable/Unfavorable, ask:) Would you say you have a strongly favorable/unfavorable impression or just a somewhat favorable/unfavorable impression?",nan,nan,11/4/2008,Winston Group,New Models,New Models National Brand Poll,11/4/2008,11/4/2008,Y,National registered voters,1000,nan,Telephone Interview,nan,52.0,46.0,3.0
USABCWP.20081076.Q008B,"Regardless of how you might vote (for president in 2008), do you have a favorable or unfavorable impression of...John McCain? (If Favorable/Unfavorable, ask:) Do you feel that way strongly or somewhat?",nan,Asked of Registered voters (80%),10/31/2008,TNS Intersearch,ABC News; Washington Post,ABC News/Washington Post Poll,10/8/2008,10/11/2008,Y,National adult including an oversample of African Americans and young adults--ages 18-29 years old,1101,Q8B,Telephone Interview,Interviews were conducted by TNS Intersearch.  Results were weighted to be representative of a national adult population.,52.0,45.0,4.0
USGREEN.08DCSEP.R014,"(Now I'd like to rate your feelings toward some people and organizations, with one hundred meaning a very warm, favorable feeling, zero meaning a very cold unfavorable feeling, and fifty meaning not particularly warm or cold.  You can use any number from zero to one hundred, the higher the number the more favorable your feelings are toward that person or organization.  If you have no opinion or never heard of that person or organization, please say so.)...John McCain...Give...John McCain a rating, with 100 meaning a very warm, favorable feeling, zero meaning a very cold, unfavorable feeling, and 50 meaning not particularly warm or cold. (If Don't know, ask:) Would you say you are unable to give an opinion of...John McCain, or have you never heard of...John McCain?",Mean = 51.8,nan,09/4/2008,Greenberg Quinlan Rosner Research,Democracy Corps,Democracy Corps Poll,09/1/2008,09/3/2008,Y,National likely voters,1000,nan,Telephone Interview,Likely voters are registered voters who voted in the 2004 election/weren't registered/ineligible/too young to vote and said they are probably or almost certain to vote in the 2008 election.,48.0,37.0,15.0
USGREEN.08DCSEP29A.R17,"(Now, I'd like to rate your feelings toward some people and organizations, with one hundred meaning a very warm, favorable feeling, zero meaning a very cold, unfavorable feeling, and fifty meaning not particularly warm or cold.   You can use any number from zero to one hundred, the higher the number the more favorable your feelings are toward that person or organization.  If you have no opinion or never heard of that person or organization, please say so.)...John McCain...Give...John McCain a rating, with 100 meaning a very warm, favorable feeling, zero meaning a very cold, unfavorable feeling, and 50 meaning not particularly warm or cold. (If Don't know, ask:) Would you say you are unable to give an opinion of...John McCain, or have you never heard of...John McCain?",Mean = 52.0,nan,10/7/2008,Greenberg Quinlan Rosner Research,Democracy Corps,Democracy Corps Poll,09/29/2008,10/2/2008,Y,Likely voters in 50 most competitive Republican congressional districts,1600,nan,Telephone Interview,Likely voters are registered voters who voted in the 2004 election/weren't registered/ineligible/too young to vote and said they are probably or almost certain to vote in the 2008 election.,49.0,36.0,15.0
USORC.082508.R06B,"(We'd like to get your overall opinion of some people in the news.  As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them.)...Arizona Senator John McCain",* = less than .5%.,Registered voters,08/25/2008,Opinion Research Corporation,Cable News Network (CNN),CNN/Opinion Research Corporation Poll,08/23/2008,08/24/2008,Y,National adult,1023,Q6B,Telephone Interview,nan,61.0,33.0,6.0
USODFOX.110308.R08,(I'm going to read you the names of several groups and individuals.  Please tell me whether you have a generally favorable or unfavorable opinion of each one.  If you've never heard of a particular individual or group please just say so.)...John McCain,nan,nan,11/3/2008,Opinion Dynamics,Fox News,FOX News/Opinion Dynamics Poll,11/1/2008,11/2/2008,Y,National registered voters,1100,nan,Telephone Interview,nan,56.0,40.0,4.0
USSRBI.100708.R08B,"(Now I'd like to get your feelings toward the people running for office and some governmental institutions on a scale of zero to 100, something like a thermometer.  If you feel favorably warm toward that person, you can rate them between 51 and 100.  If you feel unfavorable or cold toward that person, you can rate them from zero to 49.  If you don't feel particularly favorable or unfavorable, you can rate them a 50.)...John McCain",nan,nan,10/7/2008,"Abt SRBI, Inc. (Schulman, Ronca, & Bucuvalas, Inc.)",Time Magazine,Time/Abt SRBI Poll,10/3/2008,10/6/2008,Y,Registered likely voters,1053,Q8B,"Telephone Interview, Cell Phone; Telephone Interview, Landline",The poll includes limited interviews with cell phone respondents.,50.0,39.0,12.0
USODFOX.092408.R07,(I'm going to read you the names of several individuals.  Please tell me whether you have a generally favorable or unfavorable opinion of each one.  If you've never heard of someone please just say so.)...John McCain,nan,nan,09/24/2008,Opinion Dynamics,Fox News,FOX News/Opinion Dynamics Poll,09/22/2008,09/23/2008,Y,National registered voters,900,nan,Telephone Interview,nan,54.0,38.0,8.0
