QuestionID,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote,Approve,Disapprove,No Opinion
USASFOX.102517.R10,"I'm going to read you the names of several individuals, groups, and items. Please tell me whether you have a generally favorable or unfavorable opinion of each one. If you've never heard of one please just say so....Barack Obama...Is that strongly favorable/unfavorable or only somewhat?",nan,nan,10/25/2017,Anderson Robbins Research; Shaw & Co. Research,Fox News,Fox News Poll,10/22/2017,10/24/2017,Y,National registered voters,1005,nan,Telephone Interview,"408 respondents were interviewed on a landline telephone, and 597 were interviewed on a cell phone. Interviews were conducted by Braun Research.",63.0,35.0,2.0
USASFOX.093016.R07,I'm going to read you the names of several individuals and groups. Please tell me whether you have a generally favorable or unfavorable opinion of each one. If you've never heard of one please just say so....Barack Obama...Is that strongly favorable/unfavorable or only somewhat?,nan,nan,09/30/2016,Anderson Robbins Research; Shaw & Co. Research,Fox News,Fox News Poll,09/27/2016,09/29/2016,Y,National adult,522,Q11,"Telephone Interview, Cell Phone; Telephone Interview, Landline; Computer-Assisted telephone interview (CATI)","459 respondents were interviewed on a landline telephone, and 550 were interviewed on a cell phone. Interviews were conducted by Braun Research.",54.0,45.0,1.0
USORC.062416.RFV01L,"(We'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them.)...Barack Obama",* = less than .5 percent,nan,06/24/2016,Opinion Research Corporation,Cable News Network (CNN),CNN/ORC International Poll,06/16/2016,06/19/2016,Y,National adult,1001,FV1BHO,"Telephone Interview, Cell Phone; Telephone Interview, Landline",The sample included 601 interviews among landline respondents and 400 interviews among cell phone respondents.,53.0,46.0,1.0
31116798.00007,"Is your opinion of Barack Obama favorable, unfavorable or haven't you heard enough about him? Do you feel that way strongly or somewhat?",nan,nan,08/17/2016,Quinnipiac University Polling Institute,nan,"Clinton Has Big Leads In Colorado, Virginia, Tied In Iowa, Quinnipiac University Swing State Poll Finds",08/9/2016,08/16/2016,Y,Colorado likely voters,830,nan,"Telephone Interview, Cell Phone; Telephone Interview, Landline",nan,54.0,42.0,3.0
USGREEN.102516.R18,"(Now, I'd like to rate your feelings toward some people and organizations, with one hundred making a very warm, favorable feeling, zero meaning a very cold, unfavorable feeling, and fifty meaning not particularly warm or cold. You can use any number from zero to one hundred, the higher the number the more favorable your feelings are toward that person or organization. If you have no opinion or never heard of that person or organization, please say so.)...Barack Obama...Give...Barack Obama a rating, with 100 meaning a very warm, favorable feeling, zero meaning a very cold, unfavorable feeling, and 50 meaning not particularly warm or cold. (If Don't know, ask:) Would you say you are unable to give an opinion of...Barack Obama, or have you never heard of...Barack Obama?",Mean = 55.5,nan,10/25/2016,Greenberg Quinlan Rosner Research,Democracy Corps,Democracy Corps Poll,10/21/2016,10/24/2016,Y,National likely voters,900,nan,Telephone Interview,Likely voters are registered voters who voted in the 2012 election/weren't registered/ineligible/too young to vote and said they are probably/almost certain/50-50 to vote in the 2016 election.,54.0,38.0,8.0
USSUFF.102616.R08,"I am going to read you a short list of individuals and for each, please tell me if your opinion of them is generally favorable or generally unfavorable. If you are undecided or if you have never heard of someone, just tell me that....Barack Obama",* = less than .5 percent,nan,10/26/2016,Suffolk University Political Research Center,USA Today,Suffolk University/USA Today Poll,10/20/2016,10/24/2016,Y,National likely voters,1000,nan,Telephone Interview,Interviews were conducted by landline and cell phones.,57.0,39.0,4.0
31116883.00014,"(Now, I'm going to mention some people in the news. For each, please tell me if your feelings are very favorable, mostly favorable, mostly unfavorable, or very unfavorable. If you don't know enough about the person to answer, just say so.)...Barack Obama, former president of the United States",nan,nan,10/28/2019,Selzer & Co.,Grinnell College,"Job Approval Dips, Unfavorable Feelings Climb for President Trump",10/17/2019,10/23/2019,Y,National adult,1003,nan,"Telephone Interview, Cell Phone; Telephone Interview, Landline",nan,62.0,34.0,4.0
31116823.00008,"Is your opinion of Barack Obama favorable, unfavorable of haven't you heard enough about him? Do you feel that way strongly or somewhat?",nan,nan,08/17/2016,Quinnipiac University Polling Institute,nan,"Clinton Has Big Leads In Colorado, Virginia, Tied In Iowa, Quinnipiac University Swing State Poll Finds",08/9/2016,08/16/2016,Y,Iowa likely voters,846,nan,"Telephone Interview, Cell Phone; Telephone Interview, Landline",nan,52.0,44.0,4.0
USGREEN.071916.R17,"(Now, I'd like to rate your feelings toward some people and organizations, with one hundred meaning a very warm, favorable feeling, zero meaning a very cold, unfavorable feeling, and fifty meaning not particularly warm or cold. You can use any number from zero to one hundred, the higher the number the more favorable your feelings are toward that person or organization. If you have no opinion or never heard of that person or organization, please say so.)...Barack Obama...Give...Barack Obama a rating, with 100 meaning a very warm, favorable feeling, zero meaning a very cold, unfavorable feeling, and 50 meaning not particularly warm or cold. (If Don't know, ask:) Would you say you are unable to give an opinion of...Barack Obama, or have you never heard of...Barack Obama?",Mean=52.6,nan,07/19/2016,Greenberg Quinlan Rosner Research,Democracy Corps,Democracy Corps Poll,07/13/2016,07/18/2016,Y,National likely voters,900,nan,Telephone Interview,Likely voters are registered voters who voted in the 2012 election/weren't registered/ineligible/too young to vote and said they are probably/almost certain/50-50 to vote in the 2016 election.,53.0,40.0,7.0
USSUFF.090116.R08,"I am going to read you a short list of individuals and for each, please tell me if your opinion of them is generally favorable or generally unfavorable. If you are undecided or if you have never heard of someone, just tell me that. Is your opinion of...Barack Obama generally favorable or generally unfavorable?",* = less than .5 percent,nan,09/1/2016,Suffolk University Political Research Center,USA Today,Suffolk University/USA Today Poll,08/24/2016,08/29/2016,Y,National likely voters,1000,nan,Telephone Interview,Interviews were conducted by landline and cell phones.,54.0,42.0,3.0
USAP.092216G.R13A,"For each of the following individuals, please select if you have a favorable or unfavorable impression of that person. If you don't know enough about the person to have an opinion, you can say that too....Very favorable, somewhat favorable, somewhat unfavorable, very unfavorable, don't know enough to say...Barack Obama",nan,nan,09/22/2016,GfK Knowledge Networks,Associated Press,Associated Press/GfK Knowledge Networks Poll,09/15/2016,09/19/2016,Y,National adult,1694,nan,Web-based survey,"The poll was fielded by GfK Knowledge Networks using its national KnowledgePanel. The KnowledgePanel is a nationally representative probability sample of the US adult population. Panelists are recruited by randomly selecting residential addresses using a process called address-based sampling (ABS). Since nearly 3-in-10 US households do not have home Internet access, respondent households who do not have Internet access or own a computer are provided Internet service and a netbook computer to ensure that panel respondents are representative of the US adult population. Unlike opt-in panels, households are not permitted to ""self-select"" into KnowledgePanel; nor are they allowed to participate in many surveys per week.",50.0,45.0,5.0
31120291.00024,"(We'd like to get your overall opinion of some people and groups in the news. For each, please indicate if you have a favorable or unfavorable opinion of these people or groups--or if you have never heard of them.)...Barack  Obama",* = Less than .5 percent.,nan,05/25/2023,SSRS,CNN,"Biden has a lead over Democratic primary challengers, but faces headwinds overall",05/17/2023,05/20/2023,Y,National adult,1227,nan,Telephone Interview; Web-based survey,nan,57.0,35.0,7.0
31116700.00008,"Is your opinion of Barack Obama favorable, unfavorable or haven't you heard enough about him? Do you feel that way strongly or somewhat?",nan,nan,08/9/2016,Quinnipiac University Polling Institute,nan,"Clinton Tied In Florida, Up In Ohio, Surging In Pennsylvania, Quinnipiac University Swing State Poll Finds",07/30/2016,08/7/2016,Y,Ohio likely voters,812,nan,"Telephone Interview, Cell Phone; Telephone Interview, Landline",nan,52.0,47.0,2.0
31117412.00004,I'm going to read you the names of several individuals. Please tell me whether you have a generally favorable or unfavorable opinion of each one. If you've never heard of one please just say so....Barack Obama...Is that strongly favorable/unfavorable or only somewhat?,* = Less than .5 percent.,nan,05/22/2020,Beacon Research/Shaw & Co. Research,Fox News,"Fox News Poll: Biden more trusted on coronavirus, Trump on economy",05/17/2020,05/20/2020,Y,National registered voters,903,nan,"Telephone Interview, Cell Phone; Telephone Interview, Landline; Computer-Assisted telephone interview (CATI)",Interviews were conducted by Braun Research.,63.0,36.0,2.0
31121122.00010,"(I'm going to read you a list of individuals, and for each, please tell me if you have a favorable or unfavorable opinion of them. If you've never heard of someone, just say so.)...Barack Obama",nan,nan,06/17/2024,Suffolk University Political Research Center,USA Today,Suffolk University/USA TODAY Network Poll of Black Voters in Pennsylvania and Michigan: Less Enthusiasm for Biden Than in 2020,06/9/2024,06/13/2024,Y,Black registered voters in Michigan,500,nan,"Telephone Interview, Cell Phone; Telephone Interview, Landline",nan,88.0,9.0,3.0
USSSRS.012018CNN.R13E,"(We'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them.)...Barack Obama",nan,nan,01/20/2018,SSRS,Cable News Network (CNN),CNN Poll,01/14/2018,01/18/2018,Y,National adult,601,FV1_BO,"Telephone Interview, Cell Phone; Telephone Interview, Landline; Computer-Assisted telephone interview (CATI)","The sample included 404 interviews among landline respondents and 601 interviews among cell phone respondents. Interviews were conducted January 14-15 and 17-18, 2018.",66.0,32.0,2.0
31117361.00007,"Is your general impression of Barack Obama very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable, or do you have no opinion?",nan,Registered voters,05/6/2020,Monmouth University Polling Institute,nan,Voters Divided on Alleged Biden Assault,04/30/2020,05/4/2020,Y,National adult,285,Q36,"Telephone Interview, Cell Phone; Telephone Interview, Landline",nan,57.0,34.0,9.0
31116683.00009,I'm going to read you the names of several individuals and groups. Please tell me whether you have a generally favorable or unfavorable opinion of each one. If you've never heard of one please just say so....Barack Obama...is that strongly favorable/unfavorable or only somewhat?,nan,nan,08/15/2019,Beacon Research; Shaw & Co. Research,Fox News,"Biden still leads Democratic race, Warren climbs into second",08/11/2019,08/13/2019,Y,National registered voters,791,nan,"Telephone Interview, Cell Phone; Telephone Interview, Landline",Interviews were conducted by Braun Research.,60.0,37.0,3.0
USAP.102616G.R18A,"For each of the following individuals, please select if you have a favorable or unfavorable impression of that person. If you don't know enough about the person to have an opinion, you can say that too....Very favorable, somewhat favorable, somewhat unfavorable, very unfavorable...Barack Obama",nan,nan,10/26/2016,GfK Knowledge Networks,Associated Press,Associated Press/GfK Knowledge Networks Poll,10/20/2016,10/24/2016,Y,National adult,1546,nan,Web-based survey,"The poll was fielded by GfK Knowledge Networks using its national KnowledgePanel. The KnowledgePanel is a nationally representative probability sample of the US adult population. Panelists are recruited by randomly selecting residential addresses using a process called address-based sampling (ABS). Since nearly 3-in-10 US households do not have home Internet access, respondent households who do not have Internet access or own a computer are provided Internet service and a netbook computer to ensure that panel respondents are representative of the US adult population. Unlike opt-in panels, households are not permitted to ""self-select"" into KnowledgePanel; nor are they allowed to participate in many surveys per week.",55.0,40.0,5.0
31121013.00015,"(Do you have a favorable or unfavorable opinion of the following...Very favorable, somewhat favorable, lean favorable, lean unfavorable, somewhat unfavorable, very unfavorable, never heard of it)...Barack Obama",* = Less than .5 percent.,nan,04/29/2024,Ipsos,With Honor,"Americans view country as deeply divided, but believe most have much in common",02/2/2024,02/4/2024,Y,National adult,1027,nan,Web-based survey,nan,55.0,38.0,7.0
USGALLUP.072616.R01C,"(Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people, or if you have never heard of them.)...Barack Obama",nan,nan,07/26/2016,Gallup Organization,nan,Gallup Poll,07/13/2016,07/17/2016,Y,National adult,1023,nan,Telephone Interview,Interviews were conducted with respondents on landline telephones and cellular phones. The sample includes 40% landline and 60% cell phone respondents.,51.0,48.0,1.0
USPRRI.013017.R14A,"Now we would like your views on some political leaders. Please say whether your overall opinion of...Barack Obama is very favorable, mostly favorable, mostly unfavorable, or very unfavorable.",* = less than .5 percent,nan,01/30/2017,SSRS,PRRI,PRRI Survey,01/18/2017,01/22/2017,Y,National adult,409,Q14A,"Telephone Interview, Cell Phone; Telephone Interview, Landline","Interviews were conducted by SSRS-Social Science Research Solutions. 409 respondents were interviewed on landline telephones, and 604 were interviewed on cell phones.",62.0,36.0,2.0
USORC.112316.R07A,"We'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them....Barack Obama",nan,nan,11/23/2016,Opinion Research Corporation,Cable News Network (CNN),CNN/ORC International Poll,11/17/2016,11/20/2016,Y,National adult,1001,nan,"Telephone Interview, Cell Phone; Telephone Interview, Landline",The sample included 503 interviews among landline respondents and 500 interviews among cell phone respondents.,59.0,38.0,3.0
USABCWP.011717.R06A,"Overall, do you have a favorable or unfavorable impression of...Barack Obama? Do you feel that way strongly or somewhat?",nan,nan,01/17/2017,Langer Research Associates,ABC News; Washington Post,ABC News/Washington Post Poll,01/12/2017,01/15/2017,Y,National adult,655,Q8_1,"Telephone Interview, Cell Phone; Telephone Interview, Landline",The survey was produced by Langer Research Associates and The Washington Post. Interviews were conducted by Abt-SRBI. The interviews included landline and cell-phone-only respondents.,61.0,36.0,3.0
USGALLUP.111516.R36A,"Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of that person--or if you have never heard of them. How about...Barack Obama?",nan,nan,11/15/2016,Gallup Organization,nan,Gallup Poll,11/9/2016,11/13/2016,Y,National adult,1019,nan,Telephone Interview,Interviews were conducted with respondents on landline telephones and cellular phones. The sample includes 40% landline and 60% cell phone respondents.,62.0,37.0,2.0
31116674.00011,"Is your opinion of Barack Obama favorable, unfavorable or haven't you heard enough about him? Do you feel that way strongly or somewhat?",nan,nan,08/9/2016,Quinnipiac University Polling Institute,nan,"Clinton Tied In Florida, Up In Ohio, Surging In Pennsylvania, Quinnipiac University Swing State Poll Finds",07/30/2016,08/7/2016,Y,Florida likely voters,1056,nan,"Telephone Interview, Cell Phone; Telephone Interview, Landline",nan,53.0,43.0,3.0
USSELZER.081016.R05A,"Now, I'm going to mention some people and groups in the news recently. For each, please tell me if your feelings are very favorable, mostly favorable, mostly unfavorable, or very unfavorable. If you don't know enough to answer, just say so....Barack Obama, president of the United States",nan,nan,08/10/2016,Selzer & Co.,Bloomberg News,Bloomberg Poll,08/5/2016,08/8/2016,Y,National adult,1007,nan,Telephone Interview,Interviews were conducted by landline and cell phones.,51.0,44.0,5.0
USSELZER.092616.R11A,"Now I'm going to mention some people and groups in the news recently. For each, please tell me if your feelings are very favorable, mostly favorable, mostly unfavorable, or very unfavorable. If you don't know enough to answer, just say so....Barack Obama, president of the United States",nan,nan,09/26/2016,Selzer & Co.,Bloomberg News,Bloomberg Poll,09/21/2016,09/24/2016,Y,National adult,1002,nan,Telephone Interview,The interviews were conducted by landline and cell phones.,51.0,47.0,1.0
31117562.00011,(I'm going to read you a list of people. Please tell me if you have a favorable or unfavorable opinion of each of them or if you haven't heard enough about them to have an opinion.)...Barack Obama,nan,nan,06/24/2020,LHK Partners,Marquette Law School,"New Marquette Law School Poll finds Biden lead over Trump increasing, high support for Black Lives Matter and declining concern about COVID-19",06/14/2020,06/18/2020,Y,Wisconsin registered voters,805,nan,"Telephone Interview, Cell Phone; Telephone Interview, Landline",nan,61.0,35.0,5.0
USGALLUP.121616.R11A,"Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of that person--or if you have never heard of them. How about...Barack Obama?",nan,nan,12/16/2016,Gallup Organization,nan,Gallup Poll,12/7/2016,12/11/2016,Y,National adult,1028,nan,Telephone Interview,Interviews were conducted with respondents on landline telephones and cellular phones. The sample includes 40% landline and 60% cell phone respondents.,61.0,38.0,1.0
USORC.011817.R05Q,"(We'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of these people--or if you have never heard of them.)...Barack Obama",* = less than .5 percent,nan,01/18/2017,ORC International,CNN,CNN/ORC International Poll,01/12/2017,01/15/2017,Y,National adult,1000,FV1BHO,"Telephone Interview, Cell Phone; Telephone Interview, Landline",The sample included 500 interviews among landline respondents and 500 interviews among cell phone respondents.,63.0,34.0,2.0
USASFOX.091816.R08,I'm going to read you the names of several individuals. Please tell me whether you have a generally favorable or unfavorable opinion of each one. If you've never heard of one please just say so....Barack Obama...Is that strongly favorable/unfavorable or only somewhat?,nan,nan,09/18/2016,Anderson Robbins Research/Shaw & Co. Research,Fox News,Fox News Poll,09/11/2016,09/14/2016,Y,National registered voters,1006,Q8,"Telephone Interview, Cell Phone; Telephone Interview, Landline; Computer-Assisted telephone interview (CATI)","440 respondents were interviewed on a landline telephone, and 566 were interviewed on a cell phone. Interviews were conducted by Braun Research.",55.0,43.0,2.0
USGALLUP.011617.R25A,"Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of that person--or if you have never heard of them, How about...Barack Obama?",nan,nan,01/16/2017,Gallup Organization,nan,Gallup Poll,01/4/2017,01/8/2017,Y,National adult,1032,nan,Telephone Interview,Interviews were conducted with respondents on landline telephones and cellular phones. The sample includes 40% landline and 60% cell phone respondents.,58.0,41.0,1.0
USAP.071416G.R06A,"For each of the following individuals, please select if you have a favorable or unfavorable impression of that person. If you don't know enough about the person to have an opinion, you can say that too....Very favorable, somewhat favorable, somewhat unfavorable, very unfavorable...Barack Obama",nan,nan,07/14/2016,GfK Knowledge Networks,Associated Press,Associated Press/GfK Knowledge Networks Poll,07/7/2016,07/11/2016,Y,National adult,1009,nan,Web-based survey,"The poll was fielded by GfK Knowledge Networks using its national KnowledgePanel. The KnowledgePanel is a nationally representative probability sample of the US adult population. Panelists are recruited by randomly selecting residential addresses using a process called address-based sampling (ABS). Since nearly 3-in-10 US households do not have home Internet access, respondent households who do not have Internet access or own a computer are provided Internet service and a netbook computer to ensure that panel respondents are representative of the US adult population. Unlike opt-in panels, households are not permitted to ""self-select"" into KnowledgePanel; nor are they allowed to participate in many surveys per week.",49.0,46.0,5.0
USSUFF.070516.R08,"I am going to read you a short list of individuals and for each, please tell me if your opinion of them is generally favorable or generally unfavorable. If you are undecided or if you have never heard of someone, just tell me that....Barack Obama",* = less than .5 percent,nan,07/5/2016,Suffolk University Political Research Center,USA Today,Suffolk University/USA Today Poll,06/26/2016,06/29/2016,Y,National adult,1000,nan,Telephone Interview,Interviews were conducted by landline and cell phones.,52.0,45.0,2.0
USTIPP.080516.R08,"Now moving on to the topic of presidential leadership. Overall, is your opinion of Barack Obama generally favorable, generally unfavorable, or are you not familiar enough to say one way or the other?",nan,nan,08/5/2016,TIPP--Techno Metrica Institute of Policy and Politics,Investor's Business Daily,TIPP/Investor's Business Daily Poll,07/29/2016,08/4/2016,Y,National adult,921,nan,Telephone Interview,"580 respondents were interviewed on a landline telephone, and 341 were interviewed on a cell phone.",52.0,42.0,6.0
USSUFF.122116.R08,"I am going to read you a short list of individuals and for each, please tell me if your opinion of them is generally favorable or generally unfavorable. If you are undecided or if you have never heard of someone, just tell me that....Barack Obama",* = less than .5 percent,nan,12/21/2016,Suffolk University Political Research Center,USA Today,Suffolk University/USA Today Poll,12/14/2016,12/18/2016,Y,National registered voters,1000,nan,Telephone Interview,Interviews were conducted by landline and cell phones.,55.0,40.0,5.0
USAP.010917N.R05,"Do you have a favorable or unfavorable impression of Barack Obama? If you don't know enough about Barack Obama to have an opinion, you can say that too...Very favorable, somewhat favorable, somewhat unfavorable, very unfavorable, don't know enough to say",* = less than .5 percent,nan,01/9/2017,The Associated Press-NORC Center for Public Affairs Research,nan,Associated Press-NORC Presidential Legacy Survey,12/14/2016,12/19/2016,Y,National adult,1017,nan,Telephone Interview; Web-based survey,"846 respondents were interviewed online, and 171 by telephone. 
Interviews were conducted both online using a self-administered design and by telephone using live interviewers. All interviews were conducted among participants in AmeriSpeak, a probability-based panel designed to be representative of the national US adult population run by NORC at the University of Chicago. Panel participants without Internet access were interviewed via telephone by professional interviewers under the direction of NORC. NORC's AmeriSpeak Panel provides a representative panel of civilian, non-institutional adults (age 18 and over) living in the United States.
	45% of completed interviews are sourced from Amerispeak, and 55% of completed interviews are sourced from a panel of young adults custom built by NORC. The Young Adult sample is from a probability-based household panel that uses an address based sample from a registered voter database of the entire US. Households were selected using stratified random sampling to support over-sampling of households with African Americans, Hispanics, and Asians ages 18-30. NORC contacted sampled households by US mail and by telephone, inviting them to register and participate in public opinion surveys twice a month",56.0,37.0,7.0
USGALLUP.061917A.R08C,"(Next, we'd like to get your overall opinion of some people in the news. As I read each name, please say if you have a favorable or unfavorable opinion of that person--or if you have never heard of them.) How about...Barack Obama?",nan,nan,06/19/2017,Gallup Organization,nan,Gallup Poll,06/7/2017,06/11/2017,Y,National adult,1009,nan,Telephone Interview,Interviews were conducted with respondents on landline telephones and cellular phones. The sample includes 30% landline and 70% cell phone respondents.,63.0,36.0,1.0
USSELZER.101916.R11A,"Now, I'm going to mention some people and groups in the news recently. For each, please tell me if your feelings are very favorable, mostly favorable, mostly unfavorable, or very unfavorable. If you don't know enough to answer, just say so....Barack Obama, president of the United States",nan,nan,10/19/2016,Selzer & Co.,Bloomberg News,Bloomberg Poll,10/14/2016,10/17/2016,Y,National adult,1006,nan,Telephone Interview,The interviews were conducted by landline and cell phones.,54.0,44.0,2.0
